/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Jul 15 02:50:14 +0000 2016;miguelitamarsil;@azeredo_mg @mgfufino @Rio2016 @riodejaneiro_hj @eduardopaes_ @MichelTemer @ronaldocaiado @MagnoMaltaOfc tem mt bandido a comç p políticos!!;
Fri Jul 15 02:49:38 +0000 2016;miguelitamarsil;@azeredo_mg @mgfufino @Rio2016 @riodejaneiro_hj @eduardopaes_ @MichelTemer @ronaldocaiado @MagnoMaltaOfc O Rio está nas mãos dos BANDIDOS!!!;
Fri Jul 15 02:49:16 +0000 2016;miguelitamarsil;RT @azeredo_mg: O RIO OLIMPICO- @Rio2016 @riodejaneiro_hj @eduardopaes_ @MichelTemer @ronaldocaiado @MagnoMaltaOfc https://t.co/zZZXPNWaEq;
Fri Jul 15 02:49:01 +0000 2016;colaboraprojeto;Investimento na #rio2016 não melhora transporte p/ cariocas mais necessitados. @aydanoandre https://t.co/5UDoQDfGjB https://t.co/pDp5eeNLM2;
Fri Jul 15 02:48:26 +0000 2016;Embarque;#Dicas para curtir o #RiodeJaneiro nas #OlimpíadasnoRio #Rio2016 As 5 melhores trilhas no Rio e arredores |... https://t.co/RydJrJQVZ3;
Fri Jul 15 02:48:16 +0000 2016;Otavio_Sbrito;RT @CBF_Futebol: Estes são os 18 jogadores que buscarão o ouro na Olimpíada. R.Augusto e Walace foram as novidades. #Rio2016 https://t.co/Y…;
Fri Jul 15 02:47:13 +0000 2016;rtoffoli;Milícia impõe regras à Força Nacional no Rio https://t.co/7fvJfuy4nK via @JornalExtra #Rio2016;
Fri Jul 15 02:46:06 +0000 2016;riquesoueu;RT @atleticopr: Revezamento da Tocha Olímpica passou pelo estádio atleticano: https://t.co/rTGVjT3we3 #ChamaOlimpica #Rio2016 https://t.co/…;
Fri Jul 15 02:45:30 +0000 2016;_Jaroschewski;RT @glocalreporting: Our wrapup from the #Rio2016 Fórum de Sustentabilidade @BuzzingCities @_Jaroschewski @glocalreporting https://t.co/tDQ…;
Fri Jul 15 02:45:03 +0000 2016;realsauro;RT @avozdobrasil: Cerca de 80 aeronaves devem garantir segurança do espaço aéreo brasileiro durante Jogos #Rio2016 https://t.co/ZASib61R0V…;
Fri Jul 15 02:44:33 +0000 2016;marinesanacleto;RT @NeophyteSelf: Daesh (isis khawarij): Brazil you're our next target #rio2016

Abin confirma ameaças do Estado Islâmico ao Brasil https:/…;
Fri Jul 15 02:38:44 +0000 2016;lilicarv;@JogosOlimpicos @Rio2016 @museudoamanha # lindos;
Fri Jul 15 02:35:22 +0000 2016;lusosp;RT @avozdobrasil: Cerca de 80 aeronaves devem garantir segurança do espaço aéreo brasileiro durante Jogos #Rio2016 https://t.co/ZASib61R0V…;
Fri Jul 15 02:32:10 +0000 2016;SILVAJN;RT @Rio2016: 5...4...3...2...1... Está acesa a Pira de celebração em Curitiba. Amanhã tem mais @ChamaOlimpica. #RumoAoRio https://t.co/rX9v…;
Fri Jul 15 02:29:18 +0000 2016;OlympicRio016;RT @ricardocamposs: O Eco já saiu! https://t.co/kb5BomiLxG Graças a @carnatal #g1 #rio2016;
Fri Jul 15 02:28:30 +0000 2016;ricardocamposs;O Eco já saiu! https://t.co/kb5BomiLxG Graças a @carnatal #g1 #rio2016;
Fri Jul 15 02:24:51 +0000 2016;gabybnu;Alo Polícia Federal muito sério isso aqui #Rio2016 https://t.co/CImeeZNVN1;
Fri Jul 15 02:24:36 +0000 2016;affsuisso;RT @FCPorto: ⚽ 4 dragões convocados para os Jogos Olímpicos #Rio2016 
➡ https://t.co/1aa93y9IGT https://t.co/XQt5WxLsD6;
Fri Jul 15 02:22:51 +0000 2016;wesleymir;#Rio2016 quem é que manda nessa #%*%}^#? https://t.co/IcdGW6DNCz;
Fri Jul 15 02:21:29 +0000 2016;carlosreboucasj;Ainda creem que não há risco de atentados na @Rio2016_en @rio2016_es @Rio2016 @UN @hrw @nytimes @TheSun... https://t.co/DeS304Q2Bp;
Fri Jul 15 02:21:22 +0000 2016;carlosreboucasj;Ainda creem que não há risco de atentados na @Rio2016_en @rio2016_es @Rio2016 @UN @hrw @nytimes @TheSun 
 https://t.co/YbeUtyxBbI;
Fri Jul 15 02:21:11 +0000 2016;canteiro_hugo;Portugal: Paulo Henrique completa convocatória olímpica  https://t.co/VRccQ7MmJ2;
Fri Jul 15 02:20:22 +0000 2016;AnizioD;RT @atleticopr: Revezamento da Tocha Olímpica passou pelo estádio atleticano: https://t.co/rTGVjT3we3 #ChamaOlimpica #Rio2016 https://t.co/…;
Fri Jul 15 02:20:08 +0000 2016;fabioturis;#Riocard para a #Olimpíada está à venda https://t.co/CoXbm4GAoH PLANEJE SUA #VIAGEM #RIO2016 https://t.co/nAArV8O5pP https://t.co/20BTay9uC1;
Fri Jul 15 02:18:18 +0000 2016;Seba_Pereira;RT @JogosOlimpicos: Esses são os kimonos que serão usados nos Jogos @Rio2016 pela seleção 🇧🇷 de judô! Boa sorte, galera! 😉👍 #RumoAoRio  htt…;
Fri Jul 15 02:17:38 +0000 2016;ALANGUTO1;RT @OperacoesRio: #Rio2016 Saiba os dias em que haverá feriado municipal em agosto: https://t.co/x6rIF95mLt https://t.co/XvNm96UpZb;
Fri Jul 15 02:17:07 +0000 2016;jonaslobodg;#Marca #Rio2016 

Pra quem viu o filme publicitário que foi feito na Noruega sobre o garotinho que foge da... https://t.co/k853i2JfVy;
Fri Jul 15 02:13:51 +0000 2016;paul_grandson;@Rio2016 @GovRJ @Prefeitura_Rio a Polícia do RJ com medo da milícia? estamos assistindo um jornal ou a Tropa de Elite atualizada?#horrível;
Fri Jul 15 02:10:18 +0000 2016;FabioBigBlue;@RIOgaleao Uma pena vocês não terem dado uma condição melhor de estacionamento para os voluntários da Olimpíadas no aeroporto. #Rio2016;
