/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Tue Jul 19 03:09:06 +0000 2016;raphaelscostarj;#Rio2016 Em vídeo, @MichelTemer volta a dizer que @Rio2016 terá 'segurança' https://t.co/OaMyodv9pF;
Tue Jul 19 03:08:46 +0000 2016;erregege1;GALERINHA INFANTIL: Moedas comemorativas Olimpíadas Rio/2016 | Edição ... https://t.co/jfZm8r1Mw0;
Tue Jul 19 03:08:17 +0000 2016;henamarques_;RT @CAPRINCHO: Olimpíadas #Rio2016 chegando!

Aprenda a conquistar aquele gatinho terrorista! #Bapho! https://t.co/fkQ0DhhmVq https://t.co/…;
Tue Jul 19 03:08:05 +0000 2016;DicasdoEmbarque;#Dicas para curtir o #RiodeJaneiro nas #OlimpíadasnoRio #Rio2016 As 5 melhores trilhas no Rio e arredores | https://t.co/8evfPJ9Srh;
Tue Jul 19 03:07:41 +0000 2016;ClaudioPalermo9;@Rio2016 Ansioso pro dia 23/7 aqui em Guarulhos!  #ChamaOlimpica;
Tue Jul 19 03:07:34 +0000 2016;PURPLEFERSI;RT @agorasabe: A cerimônia de abertura das Olimpíadas #Rio2016 custou quase 300 milhões de reais e terá 4 horas de duração: das 20h às 00:00;
Tue Jul 19 03:06:36 +0000 2016;otaviocunha_;sobre as convocações da seleção masculina e feminina de vôlei: adeus meu sonho de ver o Brasil na final #Rio2016 :(;
Tue Jul 19 03:06:09 +0000 2016;IsisSantosIsis;RT @ebcnarede: Na próxima quinta, vão ser vendidos 100 mil ingressos para a @Rio2016 https://t.co/RzUTHpRYek https://t.co/y4DStSkYSz;
Tue Jul 19 03:05:56 +0000 2016;Anb_Li;Ué"@ebcnarede: Na próxima quinta, vão ser vendidos 100 mil ingressos para a @Rio2016 https://t.co/AqfR3fZUnb https://t.co/AnGTNGzqtd";
Tue Jul 19 03:05:24 +0000 2016;gabmaruyama;Campeão de Roland Garros, @marcelomelo83 sonha com medalha olímpica https://t.co/8ClTmXsKV5 #Rio2016;
Tue Jul 19 03:05:21 +0000 2016;OpenerMedia;BRASIL Medieval
Avanço de Fundamentalistas Congresso Brazil &amp; Governo Michel Temer
https://t.co/6K9fyThxMD #Rio2016 https://t.co/0MiQEtjOlf;
Tue Jul 19 03:05:13 +0000 2016;La_nog25;RT @ebcnarede: Na próxima quinta, vão ser vendidos 100 mil ingressos para a @Rio2016 https://t.co/RzUTHpRYek https://t.co/y4DStSkYSz;
Tue Jul 19 03:04:23 +0000 2016;BrasilMasFutbol;Mapa e aplicativo vão facilitar deslocamentos durante a Olimpíada https://t.co/PboDKMgHb6 #Rio2016 #olympics;
Tue Jul 19 03:04:14 +0000 2016;allysonswift13;RT @Rio2016: Para começar a sexta com tudo assista a #RISE, novo clipe da @nbc &amp;  @katyperry para os Jogos Olímpicos: https://t.co/QkqMaNtp…;
Tue Jul 19 03:03:29 +0000 2016;lisadoflop;RT @CAPRINCHO: Olimpíadas #Rio2016 chegando!

Aprenda a conquistar aquele gatinho terrorista! #Bapho! https://t.co/fkQ0DhhmVq https://t.co/…;
Tue Jul 19 03:03:20 +0000 2016;coisa_do_univer;RT @colaboraprojeto: Surfistas cariocas fazem alerta sobre a poluição dos mares na  #Rio2016.  https://t.co/mN4feFa4kh https://t.co/EgzPHZ4…;
Tue Jul 19 03:03:15 +0000 2016;mayregina24;RT @Rio2016: Para começar a sexta com tudo assista a #RISE, novo clipe da @nbc &amp;  @katyperry para os Jogos Olímpicos: https://t.co/QkqMaNtp…;
Tue Jul 19 03:03:06 +0000 2016;Nairoquinha;#Dicas para curtir o #RiodeJaneiro nas #OlimpíadasnoRio #Rio2016 As 5 melhores trilhas no Rio e arredores | https://t.co/lRuUeD0QS6;
Tue Jul 19 03:01:38 +0000 2016;leocarjr;RT @UOLNoticias: Zé Roberto corta Brait e mais duas. Fabíola irá à Rio-16 após gravidez https://t.co/jseE8uEnIG #Vôlei #Rio2016;
