/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Tue Jul 26 03:09:33 +0000 2016;MariaFeistauer;RT @Rodrigo_Moller_: Delegações estrangeiras estão trazendo junto com atletas uma equipe com eletricistas, encanadores e etc...
Austrália q…;
Tue Jul 26 03:09:33 +0000 2016;camipassos;Isso aí!!! #timebrasil #Rio2016 https://t.co/Ju3eRwLnd9;
Tue Jul 26 03:09:00 +0000 2016;Rodrigo_Moller_;Delegações estrangeiras estão trazendo junto com atletas uma equipe com eletricistas, encanadores e etc...
Austrália que o diga!!
#Rio2016;
Tue Jul 26 03:08:35 +0000 2016;renatomelq;Vamos encarar a oportunidade de sermos sede das Olimpíadas com otimismo e alegria. Deus é do time #BRA . #Rio2016 https://t.co/Tz4Cme5c5p;
Tue Jul 26 03:08:16 +0000 2016;Lauraap30609071;RT @regianacost: @anapaularenault @regianacost @RenaultFaccao #TweetCampeão Samos todos olímpicos e um mesmo objetivo Rio2016 https://t.co/…;
Tue Jul 26 03:07:47 +0000 2016;vanessatocha;The latest Trombeta da Tocha 2 - A missão! https://t.co/FSdXweAOlq Thanks to @Antepatico @tmwarning @gpoli #girlsinthehousefinale #rio2016;
Tue Jul 26 03:07:23 +0000 2016;ZPoliticas;RT @Brasil2016: #ProcuroAlguemQue tenha mais gols que esses dois! Ela tem 1574, ele tem 1281! 😉🇧🇷⚽️
📷 do Pelé: @Rio2016 https://t.co/Fx3wBQ…;
Tue Jul 26 03:07:21 +0000 2016;BEBRUDER;RT @nberemblum: Argentina, Australia, Suécia deixaram a Vila. Na Espanha, #Marca detona caos de Paes #PMDB no comando, do partido de #Temer…;
Tue Jul 26 03:07:20 +0000 2016;agathaborbaa;Tour da rocha olímpica na cidade de Deus. 
#Rio2016 https://t.co/mooSNAONPO;
Tue Jul 26 03:06:43 +0000 2016;InfoGaloeRaca;RT @momentsbrasil: As principais notícias do dia no esporte estão no #Moments⚡️

👉SPFC quer Barrios ou Pratto
👉Vitória do Fla
👉#Rio2016
htt…;
Tue Jul 26 03:06:26 +0000 2016;AmericoRamalho;RT @LeiSecaRJ: RT @hdn36: Muito tiro e bombas no Engenho Novo Macaco/São João! 
#tiroteio #RioOlympics #Rio2016;
Tue Jul 26 03:06:02 +0000 2016;hlaranja;#Rio2016 Tiveram 7 anos para fazer uma preparação digna p/ Olimpíada. Graças ao desastre causado pela Esquerda nada mais sério se faz aqui.;
Tue Jul 26 03:05:45 +0000 2016;ZuzuValle;RT @Rodrigo_Moller_: E assim o prefeito do Rio de Janeiro segue envergonhando o Brasil!!
"Viva" #Rio2016 olimpíada da vergonha! https://t.c…;
Tue Jul 26 03:05:43 +0000 2016;marcelmerguizo;RT @folha: Comitê da Rio-2016 admite que metade dos prédios da Vila ainda está inacabada https://t.co/O9Qx3Wgjbk #Rio2016 https://t.co/61lG…;
Tue Jul 26 03:05:34 +0000 2016;renatomelq;RT @WSarai: Inacreditável a grosseria do sr. Eduardo #Paes com a delegação da Austrália na #Rio2016. Que anfitrião é esse?;
Tue Jul 26 03:05:32 +0000 2016;Jessicarosan;Está me dando desespero ler essas manchetes sobre a organização do Rio2016...;
Tue Jul 26 03:05:09 +0000 2016;OperacoesRio;#Rio2016 | ESTÁDIO OLÍMPICO (ENGENHÃO) Terá interdições para jogos de Futebol e Atletismo. https://t.co/ojFxkMLEdy https://t.co/mL5QooD5Og;
Tue Jul 26 03:05:09 +0000 2016;Melloalmeida45;RT @nberemblum: Argentina, Australia, Suécia deixaram a Vila. Na Espanha, #Marca detona caos de Paes #PMDB no comando, do partido de #Temer…;
Tue Jul 26 03:04:47 +0000 2016;ANDERSONBOURNER;Comitê Olímpico Argentino também critica condições da Vila Olímpica https://t.co/HoeTaNybps;
Tue Jul 26 03:04:35 +0000 2016;debydaya;Vila Olímpica vai estar em ordem igual a política brasileira!! #OlimpiadasPraQuem #Rio2016;
Tue Jul 26 03:04:33 +0000 2016;tais_gaucha;E o treinamento foi show #EquipedaLagoa aí vamos nos #issoéouro #1time #cocacola #Rio2016 #Olimpiadas;
