/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
EU TENHO É ORGULHO DE ANGRA DOS REIS TER APAGADO A #TochaOlimpica #…;
Thu Jul 28 03:05:48 +0000 2016;_hudsonQ;00:00h 8 dias #Rio2016;
Thu Jul 28 03:05:39 +0000 2016;marcelodp091;RT @PanichiRaphael: 05. Cada vez pior o #Rio2016 ! A população de Angra enfurecida com a passagem da Tocha! O povo está enfurecido! https:/…;
Thu Jul 28 03:05:33 +0000 2016;dxsperatte;RT @elderc: Os carteiros vão participar de alguma modalidade na #Rio2016? https://t.co/04NyRaU0XC;
Thu Jul 28 03:05:33 +0000 2016;Seba_Pereira;RT @timebrasil: Palmas para Caroline Kumahara! A mesatenista classificada para @Rio2016 faz aniversário hoje! https://t.co/mtDjNcJZju;
Thu Jul 28 03:05:11 +0000 2016;FWeslleyPS;8 dias negada, 8 dias #Rio2016 #RumoAoRio;
Thu Jul 28 03:05:11 +0000 2016;VeveMedeiross;O amor vai até onde os sonhos conseguem chegar... #rio2016 #riodejaneiro #dance #love #sempregrata https://t.co/Z9XBYZ3Wvi;
Thu Jul 28 03:05:05 +0000 2016;RioBusOficial;RT @OperacoesRio: #RIO2016 | Alça da Rua Frei Caneca foi fechada no dia 17. Saiba mais: https://t.co/EY6Y9e8yGB https://t.co/xoW6FirhNt;
Thu Jul 28 03:05:04 +0000 2016;OperacoesRio;#RIO2016 | Alça da Rua Frei Caneca foi fechada no dia 17. Saiba mais: https://t.co/EY6Y9e8yGB https://t.co/xoW6FirhNt;
Thu Jul 28 03:05:04 +0000 2016;embratel;A Embratel está no Twitter! Acompanhe por aqui as novidades sobre o universo de Telecom nos Jogos #Rio2016.;
Thu Jul 28 03:04:53 +0000 2016;catia7l;RT @g1: Mais de 250 milhões de Moedas da Olimpíada estão em circulação https://t.co/t65YYAHIJ6 #Rio2016 #G1 https://t.co/I1njAuB19f;
Thu Jul 28 03:04:52 +0000 2016;nymphita;RT @elderc: Os carteiros vão participar de alguma modalidade na #Rio2016? https://t.co/04NyRaU0XC;
Thu Jul 28 03:04:39 +0000 2016;wollefor;RT @SimoneRJ_BR: #Rio2016 TAPA COM LUVA DE PELICA DA AUSTRÁLIA! 👏 👏 👏 👏 👏A-MEI! 
ENGOLIU SECO, NÉ PREFEITINHO?! 😂 https://t.co/gJi7wJ89L8;
Thu Jul 28 03:04:23 +0000 2016;YoTakase;Eis que apagaram a tocha em Angra dos Reis #rio2016 #olympics #dontcometobrazil;
Thu Jul 28 03:03:56 +0000 2016;ornelaspaloma;RT @VEJAEsporte: Ele chegou: Bolt desembarca no Brasil para a #Rio2016
https://t.co/3qfrqJj0Dt https://t.co/ETyWpXH1ow;
Thu Jul 28 03:03:49 +0000 2016;HaAshFortaleza;@haashoficial já estão chegando na olimpíadas #Rio2016 
#PerdonPerdon #KCAMexico https://t.co/nKIgHF3X37;
Thu Jul 28 03:03:48 +0000 2016;PEPPECONSENTINI;#rio2016 @ Parque Olímpico Rio 2016 https://t.co/ww8bJ5GTfm;
Thu Jul 28 03:03:23 +0000 2016;Betacpm;RT @TO_DE_OLHO: Atletas já estão recebendo o kit olímpico! 

Parabéns @eduardopaes_ 

#Rio2016 https://t.co/nUU942jEMK;
Thu Jul 28 03:03:20 +0000 2016;_superlari;@CorreiosBR @Rio2016 se depender de vcs só terá jogos em 2018 pq nunca vi demorar tanto pra entregar algo;
Thu Jul 28 03:03:07 +0000 2016;kelvinnbrito;RT @pedrohenricksc: APAGARAM A TOCHA OLÍMPICA AQUI EM ANGRA DOS REIS.
QUE ORGULHO CARA, QUE ORGULHO #Rio2016 #TochaOlimpica #JapuíbaRules
💙…;
