/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun May 15 02:04:04 +0000 2016;mateustsc;RT @Rio2016: 🔥Incentivar e inspirar é a vida do professor/psicólogo Marcelo Melo que atua com pessoas com deficiência desde 2000🔥 https://t…;
Sun May 15 02:03:23 +0000 2016;luzzicar;Aquele sonho de tirar uma foto com o @neymarjr no @Rio2016;
Sun May 15 02:01:45 +0000 2016;IsmaelxLucas;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 02:01:19 +0000 2016;UmTempoDePaz;RT @Rio2016: Rogério Flausino (@flausinoJQ) está "se aquecendo" pra ver conhecer a @ChamaOlimpica pessoalmente. #NaMoral https://t.co/yVLRJ…;
Sun May 15 01:59:07 +0000 2016;Julianacastro88;RT @UmTempoDePaz: Olha só o @flausinoJQ no snap Rio2016 só na moral!!! Legal demais!! @jotaquest https://t.co/5bclKOxgQg;
Sun May 15 01:59:04 +0000 2016;RenatoMcs;RT @Nissan_Oficial: Sabe qual foi o look do dia da @hojevouassim? A @ChamaOlimpica! #QuemSeAtreve #Rio2016 https://t.co/k5UXxc6jXF;
Sun May 15 01:58:43 +0000 2016;SurtoOlimpico;Austrália lança os uniformes para esportes aquáticos no @Rio2016 https://t.co/3a8ajlYc7O https://t.co/sJbpQuUp2R;
Sun May 15 01:56:05 +0000 2016;chicopy3xui;RT @correio_dopovo: Palco de judô e lutas no @Rio2016 é inaugurado https://t.co/tfoj4nQStq https://t.co/oHhVXDnfgz;
Sun May 15 01:55:46 +0000 2016;daniielvsouza;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 01:54:56 +0000 2016;kerginaldo;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 01:54:38 +0000 2016;ReginSandra;RT @Nissan_Oficial: Hoje a Terezinha Guilhermina levou o ouro em mais uma prova: a condução da @ChamaOlimpica! #QuemSeAtreve #Rio2016
https…;
Sun May 15 01:54:01 +0000 2016;UmTempoDePaz;Olha só o @flausinoJQ no snap Rio2016 só na moral!!! Legal demais!! @jotaquest https://t.co/5bclKOxgQg;
Sun May 15 01:52:24 +0000 2016;JeanGomesMD;O que ela tem com o esporte? 
@Rio2016 @PaulaFernandes7 @ChamaOlimpica;
Sun May 15 01:51:37 +0000 2016;whosandd;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
