/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Tue May 10 02:36:01 +0000 2016;adri_remendes;RT @PassageiroRJ: Realidade do transporte público na #CidadeOlímpica.

#ImobilidadeRJ, largado do #Rio2016. 

Tue May 10 01:35:07 +0000 2016;cabreira;RT @dw_brasil: Obras olímpicas são parcialmente interditadas no Rio de Janeiro https://t.co/crfVRTXe6R #Rio2016 https://t.co/eU6rl9zfNG;
Tue May 10 01:34:28 +0000 2016;Kellysson_AB;RT @dw_brasil: Obras olímpicas são parcialmente interditadas no Rio de Janeiro https://t.co/crfVRTXe6R #Rio2016 https://t.co/eU6rl9zfNG;
Tue May 10 01:34:03 +0000 2016;luisgomesrj;RT @dw_brasil: Obras olímpicas são parcialmente interditadas no Rio de Janeiro https://t.co/crfVRTXe6R #Rio2016 https://t.co/eU6rl9zfNG;
Tue May 10 01:29:51 +0000 2016;thalytaandradea;RT @LaisOrlandi: Ohh só #Rio2016 em pleno #TheVoice #VoiceTop9;
Tue May 10 01:29:39 +0000 2016;patzinhalima;RT @dw_brasil: Obras olímpicas são parcialmente interditadas no Rio de Janeiro https://t.co/crfVRTXe6R #Rio2016 https://t.co/eU6rl9zfNG;
Tue May 10 01:28:43 +0000 2016;jefebrasil;RT @luizatrajano: E olha que bacana! O Programa Jovem Aprendiz começou a preparar 455 pessoas selecionadas para trabalhar na #Rio2016! http…;
Tue May 10 01:27:57 +0000 2016;LaisOrlandi;Ohh só #Rio2016 em pleno #TheVoice #VoiceTop9;
Tue May 10 01:26:37 +0000 2016;dw_brasil;Obras olímpicas são parcialmente interditadas no Rio de Janeiro https://t.co/crfVRTXe6R #Rio2016 https://t.co/eU6rl9zfNG;
Tue May 10 01:12:48 +0000 2016;EmersonDaviB;RT @PassageiroRJ: Realidade do transporte público na #CidadeOlímpica.

#ImobilidadeRJ, largado do #Rio2016. 

RT @marciokellerone: https://…;
Tue May 10 01:09:13 +0000 2016;alegna_ange;paraplégico fake zezé de camargo e luciano carregando tocha olímpica, pode piorar? #Olimpiadas @Rio2016;
Tue May 10 01:08:11 +0000 2016;EluamS;RT @Rio2016: E o #Dia7 da nossa cobertura da viagem da @ChamaOlimpica #RumoAoRio fica por aqui. Confira mais detalhes em https://t.co/2IhHe…;
Tue May 10 01:08:11 +0000 2016;EluamS;RT @Rio2016: O grande momento do Seu Chico da Onça com a @ChamaOlimpica e a pira em Montes Claros, encerrando o nosso #Dia7 (3/3) https://t…;
Tue May 10 01:05:26 +0000 2016;tataran1000;RT @AndersonCunha40: Primeiro passo para seguir em frente: 
não corra atrás de quem não quer andar ao seu lado #TodosNaMafiaSdv #rio2016 #t…;
Tue May 10 01:05:20 +0000 2016;stebozza;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
Tue May 10 01:05:20 +0000 2016;roberto_kza;RT @SiteLF: 👊 Aquecimento Olímpico: #Judô || https://t.co/qeBBSamcBo || Por: @cassinha_moura #Rio2016 https://t.co/dmqlKrsYFa;
