/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu May 26 02:02:25 +0000 2016;Regys_Silva;RT @SurtoOlimpico: VAMOS FALIR!! Lançado o álbum de figurinhas do @Rio2016 https://t.co/OCj5pE54U7 https://t.co/b1k6OPM4e1;
Thu May 26 02:02:17 +0000 2016;Regys_Silva;RT @SurtoOlimpico: a @Argentina faz pré-convocação para o @Rio2016 https://t.co/r0aArj7xf2 https://t.co/gK46RIuW7D;
Thu May 26 02:02:11 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Definida a equipe de triatlo do Brasil para o @Rio2016 https://t.co/qCDPWngN8W https://t.co/e4bNy8Jaub;
Thu May 26 02:02:08 +0000 2016;Regys_Silva;RT @SurtoOlimpico: A @RedeGlobo vai disponibilizar sinal gratuito na internet durante o @Rio2016 https://t.co/fn8FI3nPNf https://t.co/k9LO1…;
Thu May 26 02:01:58 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Destaques do Surto...rival dá força e o Brasil ganha mais uma vaga no boxe do @Rio2016 https://t.co/5Mx4mQ2zml https://t…;
Thu May 26 02:01:02 +0000 2016;Sayoshi;RT @SurtoOlimpico: a @Argentina faz pré-convocação para o @Rio2016 https://t.co/r0aArj7xf2 https://t.co/gK46RIuW7D;
Thu May 26 02:00:22 +0000 2016;driekuniyoshi;Com as lindas 😘 #bradesco #job #work #Rio2016 #MuseuItinerante… https://t.co/rDhaI7fdHa;
Thu May 26 01:57:09 +0000 2016;AlbertoSanttos;RT @SurtoOlimpico: A @RedeGlobo vai disponibilizar sinal gratuito na internet durante o @Rio2016 https://t.co/fn8FI3nPNf https://t.co/k9LO1…;
Thu May 26 01:57:09 +0000 2016;JuniorMarlley1;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Thu May 26 01:56:33 +0000 2016;AlbertoSanttos;RT @SurtoOlimpico: VAMOS FALIR!! Lançado o álbum de figurinhas do @Rio2016 https://t.co/OCj5pE54U7 https://t.co/b1k6OPM4e1;
Thu May 26 01:55:32 +0000 2016;SurtoOlimpico;VAMOS FALIR!! Lançado o álbum de figurinhas do @Rio2016 https://t.co/OCj5pE54U7 https://t.co/b1k6OPM4e1;
Thu May 26 01:54:36 +0000 2016;SurtoOlimpico;a @Argentina faz pré-convocação para o @Rio2016 https://t.co/r0aArj7xf2 https://t.co/gK46RIuW7D;
Thu May 26 01:52:42 +0000 2016;AlbertoSanttos;RT @SeuEsporteBR: Faltam 72 dias para os Jogos Olímpicos Rio 2016! @YanePentatlo! #Rio2016 #RoadToRio https://t.co/ppLt7UP5rW;
Thu May 26 01:52:39 +0000 2016;SurtoOlimpico;Definida a equipe de triatlo do Brasil para o @Rio2016 https://t.co/qCDPWngN8W https://t.co/e4bNy8Jaub;
Thu May 26 01:52:27 +0000 2016;lusantana_;RT @CasaRonaldRJ: RT #AlmoçoCompleto É comer o #BigMac no dia 27 de agosto em todos os @McDonalds_BR do #Rio2016! ❤️🍔;
Thu May 26 01:52:00 +0000 2016;SurtoOlimpico;A @RedeGlobo vai disponibilizar sinal gratuito na internet durante o @Rio2016 https://t.co/fn8FI3nPNf https://t.co/k9LO12Dn02;
Thu May 26 01:49:20 +0000 2016;SurtoOlimpico;Destaques do Surto...rival dá força e o Brasil ganha mais uma vaga no boxe do @Rio2016 https://t.co/5Mx4mQ2zml https://t.co/eTjvQYfYpN;
Thu May 26 01:46:10 +0000 2016;EsportesOnIine;Pelas Quadras: Rio2016 libera nova carga de entradas para tênis https://t.co/puKkGrIeAm https://t.co/0wV7rb54TT;
Thu May 26 01:45:27 +0000 2016;BiancaPolonine;RT @CasaRonaldRJ: RT #AlmoçoCompleto É comer o #BigMac no dia 27 de agosto em todos os @McDonalds_BR do #Rio2016! ❤️🍔;
Thu May 26 01:45:14 +0000 2016;GazetaDoEsporte;RT @ESPNagora: Pelas Quadras: @Rio2016 libera nova carga de entradas para tênis https://t.co/lx4yEgyEvZ https://t.co/OEkcoGUMfd;
Thu May 26 01:44:52 +0000 2016;lucianosilva96;Quero um, hein?! E avisando p/ @jornalcorreiopb @jc_pe e outros jornais do BR a fazer promoções como essa. https://t.co/PBaEb55EBP;
Thu May 26 01:44:07 +0000 2016;fabriciosgomes;@Rio2016 os ingressos que pegarei na bilheteria, serão muito diferentes?;
Thu May 26 01:43:49 +0000 2016;dadotb;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Thu May 26 01:42:33 +0000 2016;evelozaf62;ao faze-lo imagine o tema "carruagens de fogo" https://t.co/B4qpPC34nI;
Thu May 26 01:42:29 +0000 2016;juliafontes_a;RT @Rio2016: Alunos de José da Silva Filho, chefe de escoteiros em Feira de Santana, o indicaram para conduzir a @ChamaOlimpica. https://t.…;
