/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sat May 28 01:48:23 +0000 2016;SoldadoCidadao;@Comosera @JonasGol @Rio2016.
Vai amarelar...as crianças querem medalhas  #OURO https://t.co/aZQc1IbJEC  &gt;  @YouTube https://t.co/NoO5KxDTum;
Sat May 28 01:47:05 +0000 2016;martinchab1997;RT @Rio2016: Neste momento, a @ChamaOlimpica está cruzando o agreste rumo à cidade de Paulo Afonso, na Bahia. https://t.co/ZT91RB29zJ;
Sat May 28 01:44:19 +0000 2016;li_araf;RT @betisehead: Nem eu imaginava como #AyrtonSenna poderia inspirar os brasileiros. Assista o video. RT https://t.co/W6Ic9FobtI https://t.c…;
Sat May 28 01:42:41 +0000 2016;martinchab1997;RT @Rio2016: O mestre Luís Lislene perseverou na vida e além de ter sua própria academia hoje conduz também a @ChamaOlimpica.  👏👏 https://t…;
Sat May 28 01:38:58 +0000 2016;LucianoAzvdo73;@ChamaOlimpica @thepatricao @Rio2016 Lindo msm. Tive a honra de conhecê-lo na travessia entre Juazeiro-BA e Petrolina-PE, inesquecível!;
Sat May 28 01:37:16 +0000 2016;SoldadoCidadao;@Comosera @Phil_Coutinho.
Prazer é todo meu, #SoldadoCidadão.
 Está dentro ou fora da @Rio2016 https://t.co/aZQc1IbJEC  via @YouTube;
Sat May 28 01:36:43 +0000 2016;FENIXCMRGS;RT @thepatricao: A #TochaOlímpica tá perto PB,hoje em PE, dia 2/6 em CAMPINA GRANDE #ChamaOlimpica #ChamaNaPB @Rio2016 #SouCondutor https:/…;
Sat May 28 01:34:33 +0000 2016;martinchab1997;RT @Rio2016: Olha a recepção que a cidade de Santa Maria da Boa Vista preparou para a @ChamaOlimpica. https://t.co/Xh85lxfYDg;
Sat May 28 01:32:45 +0000 2016;martinchab1997;RT @Rio2016: Jocemar Rodrigues nasceu patriota no dia 7 de setembro. Ele conduziu a @ChamaOlimpica por Santa Maria da Boa Vista. https://t.…;
