/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri May 13 03:06:26 +0000 2016;rafael80s;@MarceloTas E as pérolas continuarão a surgir com a #Rio2016;
Fri May 13 02:56:31 +0000 2016;RafaSongz;RT @lfmifo: A tocha olímpica chegou!

#cartoons #tiras #desenhos #esportes #Olimpiadas #Rio2016 #Temer #GolpistasONFIRE https://t.co/rpfsAk…;
Fri May 13 02:49:40 +0000 2016;GKellyGBernardo;Estudo científico recomenda suspender a Rio-2016 por causa da zika https://t.co/vr185EX3Pt via @JornalExtra #RIO2016 #JO2016;
Fri May 13 02:48:11 +0000 2016;jaugustpb;RT @RadioONU: Atenção grávidas: OMS pede que evitem viajar ao Rio para os #JogosOlímpicos devido ao #Zika /bit.ly/1qguMpc #Rio2016 https://…;
Fri May 13 02:46:53 +0000 2016;cyromarcal;RT @eduardopaes_: Engenhão entregue hoje ao Comitê Organizador dos jogos Rio2016 todo reformado.  Do lado de… https://t.co/Rmp7jsYc9q https…;
Fri May 13 02:44:07 +0000 2016;PauloUp13;RT @Rio2016: Que emoção! A condutora da @ChamaOlimpica se emocionou muito ao lado da filha, chorando no percurso. 😭☺☺ https://t.co/Q4eA8fnA…;
Fri May 13 02:42:26 +0000 2016;PauloUp13;RT @Rio2016: Carlos Magno da Costa fez a decoração temática com ajuda da esposa Liliane Sena Silveira. Ambos são decoradores. https://t.co/…;
Fri May 13 02:36:24 +0000 2016;robebrjp;RT @portalfab: #Rio2016 Em Belém, Militares são capacitados para a Polícia da Aeronáutica. Saiba mais: https://t.co/0mRTXhqsGW https://t.co…;
Fri May 13 02:36:20 +0000 2016;robebrjp;RT @Rio2016: Os uniformes dos Jogos #Rio2016 chegaram. Confira as curiosidades da produção e o que cada cor representa.
https://t.co/ik4PEP…;
Fri May 13 02:35:12 +0000 2016;mattarrodrigo;Tudo muito bem organizado @Rio2016;
Fri May 13 02:34:40 +0000 2016;mattarrodrigo;Quando pedi ingressos Pra @Rio2016 não consegui nenhum que eu quis, agora que já não consigo organizar mais aparecem para todos os esportes.;
Fri May 13 02:30:21 +0000 2016;sayonnara_s;Minha Mãe, Minha Pátria - Daniela Mercury

#vinilvirtual #rio2016 #olimpiadas #danielamercury #dmonline... https://t.co/mUQd0GY3zw;
Fri May 13 02:24:58 +0000 2016;Carlosan_lopes;RT @ChamaOlimpica: 🎵Eu não sou vagabundo Eu não sou delinquente Sou uma 🔥carente Eu dormi na pira Pensando no @Rio2016🎶 https://t.co/fFrE0J…;
Fri May 13 02:22:08 +0000 2016;Jovemitabira;@Brasil2016 @Rio2016 @Rio2016_en @rio2016_es @JogosOlimpicos @MTurismo pena que prédio ao fundo estar interditado por tempo indeterminado.;
Fri May 13 02:20:28 +0000 2016;Jovemitabira;@Brasil2016 @Rio2016 @Rio2016_en @rio2016_es pelo menos a administração da cidade resolveu alguns problemas da cidade viva tocha;
Fri May 13 02:19:21 +0000 2016;Jovemitabira;@Rio2016 @Brasil2016 @ChamaOlimpica Que bom pois memorial estava fechado a anos para publico abriu hj e volta a fechar amanhã.kkkk;
Fri May 13 02:16:49 +0000 2016;JACQUE_CHANEL;Tocha Olímpica Rio 2016 tem primeira condutora transexual https://t.co/FDGwObUvj9;
Fri May 13 02:16:24 +0000 2016;viniciuszg;RT @momentsbrasil: Engenhão é entregue p/ @Rio2016, mas obras no estádio ainda não terminaram. 

Veja as notícias do esporte! #Moments⚡
htt…;
Fri May 13 02:15:51 +0000 2016;SeuEsporteBR;Amanhã começa o Qualificatório Mundial de vôlei, valendo as 4 últimas vagas para #Rio2016. Pelas regras, obrigatoriamente 1 vaga é asiática.;
Fri May 13 02:14:36 +0000 2016;RogerioLima2016;RT @momentsbrasil: Engenhão é entregue p/ @Rio2016, mas obras no estádio ainda não terminaram. 

Veja as notícias do esporte! #Moments⚡
htt…;
Fri May 13 02:13:18 +0000 2016;momentsbrasil;Engenhão é entregue p/ @Rio2016, mas obras no estádio ainda não terminaram. 

Veja as notícias do esporte! #Moments⚡
https://t.co/Yz3tDSLtOQ;
Fri May 13 02:07:03 +0000 2016;Lucas_Drunk;Hey more @Andressafelixx, por pouco a gente não viu a tocha olímpica descer de tobogã aqui em Caldas Novas...rss https://t.co/Z175oVfpJq;
Fri May 13 02:04:53 +0000 2016;primaocoringao;RT @ChamaOlimpica: 🎵Eu não sou vagabundo Eu não sou delinquente Sou uma 🔥carente Eu dormi na pira Pensando no @Rio2016🎶 https://t.co/fFrE0J…;
