/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Fri May 06 03:12:04 +0000 2016| user = zidruxXx| text = 91 dias pras Olimpíadas
date = Fri May 06 00:54:10 +0000 2016| user = quizznificina| text = Você acha que entende tudo de Olimpíada? Bora para o esquenta, então! #olympicgames #Rio2016 https://t.co/0H1Klk5N1K https://t.co/aLJF3Un7HM
date = Fri May 06 00:53:51 +0000 2016| user = ChamaOlimpica| text = Inspirador encontrar @janetmbrasil ☺ Mesatenista campeã no Pan 2007 que brilhará no 🏹 no @rio2016 #ChamaOlimpica https://t.co/dzUtW0D1S9
date = Fri May 06 00:53:37 +0000 2016| user = brunasssz| text = RT @dois_min: Brasil vence e é campeão do Aquece Rio de Goalball \o/ Será que vem medalha da #Rio2016? https://t.co/hX5McsRZ0U https://t.co…
date = Fri May 06 00:50:49 +0000 2016| user = NegroNormal| text = RT @otariodocaralho: #Rio2016 Menos transplantes de órgãos e mais mortes #issocenumconta #JN
date = Fri May 06 00:48:08 +0000 2016| user = EstadaoEsporte| text = Companheiro de Nenê, John Wall tem joelho operado e deve perder @Rio2016 - https://t.co/NipxMJBMb1 https://t.co/F2nDBV5oAN
date = Fri May 06 00:47:23 +0000 2016| user = cassinha_moura| text = RT @SiteLF: Aquecimento Olimpico: Remo || https://t.co/AZwv8fJf2a || #Rio2016 Por @imastargirl https://t.co/Bw4C9T4ooQ
date = Fri May 06 00:47:03 +0000 2016| user = jornalistati| text = Convidada para ministrar uma palestra no CIEE sobre a Tocha Olímpica e a busca da realização de sonhos e objetivos. #soucondutora #rio2016
date = Fri May 06 00:46:38 +0000 2016| user = PORTALVISO| text = #PV OLIMPÍADAS RIO2016Onde a Tocha esta?ITABERAÍ -GOIÁSAcompanhe com a gente a passagem da… https://t.co/5JRlTdwh5F
date = Fri May 06 00:45:15 +0000 2016| user = radiofalafacil| text = Revezamento da Tocha Olímpica - Condutores da Tocha Olímpica Rio 2016 em Três Rios no dia jul 29... https://t.co/5dT2KO4jys
date = Fri May 06 00:44:40 +0000 2016| user = dois_min| text = Brasil vence e é campeão do Aquece Rio de Goalball \o/ Será que vem medalha da #Rio2016? https://t.co/hX5McsRZ0U https://t.co/lK3vNTznwo
date = Fri May 06 00:43:48 +0000 2016| user = radiofalafacil| text = Revezamento da Tocha Olímpica - Condutores da Tocha Olímpica Rio 2016 em Três Rios no dia jul 29... https://t.co/R4CEt68hMr
date = Fri May 06 00:38:50 +0000 2016| user = edithgiolo| text = @Rio2016 Oi!!! Não é judô, é karatê! 😊😊😊😊
date = Fri May 06 00:38:41 +0000 2016| user = dois_min| text = As Seleções de Goalball já conhecem seus adversários na #Rio2016 https://t.co/DGSekAj646 https://t.co/45fFo3vucc
date = Fri May 06 00:29:21 +0000 2016| user = daniellabrito| text = Amo mais que Bolo de chocolate.  #fomosprarua #família #tourdatocha #rio2016 #tochaolimpica… https://t.co/zrb9TvwlDh
date = Fri May 06 00:28:02 +0000 2016| user = otariodocaralho| text = #Rio2016 Menos transplantes de órgãos e mais mortes #issocenumconta #JN
date = Fri May 06 00:27:01 +0000 2016| user = gusberte16| text = RT @Rio2016: Estamos no 3º dia do revezamento da #TochaOlímpica e a #3Meses dos #JogosOlímpicos! https://t.co/U7beqmBa0P
date = Fri May 06 00:21:17 +0000 2016| user = Rio2016| text = Sintam o solo do engenheiro Fausto Carraro - Bicampeão brasileiro de #AirGuitar e #top10 no mundo! @ChamaOlimpica
https://t.co/Ux6hUAEJL6
date = Fri May 06 00:21:04 +0000 2016| user = rio2016_es| text = #Día3 ¡A sólo #3Meses la #LlamaOlímpica 🔥✨  se luce al mejor estilo de los @juegosolimpicos en Goiânia! #RumboARio https://t.co/sVlsoJXF0Y
date = Fri May 06 00:20:52 +0000 2016| user = IDarlinho| text = RT @Rio2016: Waithy da tribo Xerente, que tem mais de 67 aldeias em Tocantínia e ensinou um pouco da sua língua akwe. #RumoAoRio https://t.…
date = Fri May 06 00:20:29 +0000 2016| user = gbontempo| text = Se fomos anônimos, não me lembro 
#Publicit/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
antes #CocaCola #Rio2016 #OlympicGames #TochaOl… https://t.co/ff5iHXDGwm https://t.co/24s8tE2AQb
date = Fri May 06 00:20:27 +0000 2016| user = gbontempo| text = Se fomos anônimos, não me lembro 

#Publicitantes #CocaCola #Rio2016 #OlympicGames… https://t.co/HOSir8rRHD
date = Fri May 06 00:19:12 +0000 2016| user = ricardorealeza| text = Curtindo o momento olimpico #olimpiadas #riodejaneiro #bangu #rio2016 #rio2016olympics https://t.co/7VEx8689ty
date = Fri May 06 00:19:02 +0000 2016| user = depoisdehj| text = RT @Rio2016: Waithy da tribo Xerente, que tem mais de 67 aldeias em Tocantínia e ensinou um pouco da sua língua akwe. #RumoAoRio https://t.…
date = Fri May 06 00:17:44 +0000 2016| user = Rio2016| text = .@EdithGiolo começou no #judô há 13 anos para incentivar os filhos. Hoje coleciona vitórias no esporte! #RumoAoRio.
https://t.co/HcJ7fPAP3k
date = Fri May 06 00:14:28 +0000 2016| user = OslecMac74| text = Se isso é uma índia de verdade, eu sou um crioulo com cabelo black power! https://t.co/vnRWp2xxSv
date = Fri May 06 00:14:28 +0000 2016| user = Brasil2016| text = RT @Rio2016: Waithy da tribo Xerente, que tem mais de 67 aldeias em Tocantínia e ensinou um pouco da sua língua akwe. #RumoAoRio https://t.…
date = Fri May 06 00:14:16 +0000 2016| user = canteiro_hugo| text = RT @Rio2016: Waithy da tribo Xerente, que tem mais de 67 aldeias em Tocantínia e ensinou um pouco da sua língua akwe. #RumoAoRio https://t.…
date = Fri May 06 00:13:54 +0000 2016| user = Rio2016HQ| text = Waithy da tribo Xerente, que tem mais de 67 aldeias em Tocantínia e ensinou um pouco da sua língua akwe. #RumoAoRio https://t.co/gwFNaFA7xf
date = Fri May 06 00:12:10 +0000 2016| user = donas_da_bola| text = RT @Rio2016: Waithy da tribo Xerente, que tem mais de 67 aldeias em Tocantínia e ensinou um pouco da sua língua akwe. #RumoAoRio https://t.…
date = Fri May 06 00:11:37 +0000 2016| user = Rio2016| text = Waithy da tribo Xerente, que tem mais de 67 aldeias em Tocantínia e ensinou um pouco da sua língua akwe. #RumoAoRio https://t.co/Z67nQ8hHi3
date = Fri May 06 00:10:12 +0000 2016| user = naoseimeunomee1| text = RT @EstadaoEsporte: Por @Rio2016, @thiagopereira e mais nove nadadores farão treinamento na altitude - https://t.co/zVLhdZSBsC https://t.co…
date = Fri May 06 00:09:17 +0000 2016| user = LeoChanDragon| text = Uma ciclovia a beira mar que não souberam projetar para aguentar ondas de ressaca ... Ora pois  Depois o português que é burro #Rio2016 󾓥󾓩󾓥󾓩
