/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Apr 15 03:08:21 +0000 2016;Jeandsd;@Rio2016 Qual será o horário da cerimônia de abertura ?;
Fri Apr 15 03:07:43 +0000 2016;CARTIER41858206;RT @tvbombinhas: Welcome Rio de Janeiro #Brazil #Rio2016 #Olimpia2016 #RT #F4F @tvfloripa @kentkristensen1 @channel100TV @tvbombinhas https…;
Fri Apr 15 03:03:10 +0000 2016;GKellyGBernardo;Abin confirma ameaças do Estado Islâmico ao Brasil - https://t.co/pipdzJJVWw https://t.co/9TirB8yCUp via @exame #RIO2016;
Fri Apr 15 03:00:47 +0000 2016;channel100TV;RT @tvbombinhas: Welcome Rio de Janeiro #Brazil #Rio2016 #Olimpia2016 #RT #F4F @tvfloripa @kentkristensen1 @channel100TV @tvbombinhas https…;
Fri Apr 15 02:59:41 +0000 2016;Seba_Pereira;RT @SurtoOlimpico: Treinador da seleção brasileira diz que seria frustrante @CesarCielo ficar fora do @Rio2016 https://t.co/WTJmjUGaPc http…;
Fri Apr 15 02:59:36 +0000 2016;Seba_Pereira;RT @SurtoOlimpico: O Canadá anunciou a equipe de natação para o @Rio2016 https://t.co/hjK3UFeh2E https://t.co/MNVlgJZDOS;
Fri Apr 15 02:54:45 +0000 2016;penguin_tocrazy;RT @fifacom_es: #Río2016 - Sorteo Masculino
Gr.A: 🇧🇷🇿🇦🇮🇶🇩🇰
Gr.B: 🇸🇪🇨🇴🇳🇬🇯🇵
Gr.C: 🇫🇯🇰🇷🇲🇽🇩🇪
Gr.D: 🇭🇳🇩🇿🇵🇹🇦🇷 https://t.co/FghIji9vsV;
