/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon Apr 18 02:31:34 +0000 2016;FutebolPT2;Rio2016: Filipa Martins eleva para 61 o total de portugueses apurados: 

Diogo Ganchinho, Ana Rente e ... https://t.co/I6BJJNNzbm;
Mon Apr 18 02:30:21 +0000 2016;SeaFuentes;RT @_elsagarcia_: Felicidades @kevin_gastelum @Daniel_Corral @aLexa_M0 @analago95 
#TestEvent #Rio2016 #TeamMex #Gymnastics 
🏆💚⚪️❤️🏆 https:…;
Mon Apr 18 02:29:20 +0000 2016;dmartipva;RT @Corinthians: É nóis no @Rio2016! Leonardo de Deus garante vaga olímpica nos 200m borboleta no #MariaLenk https://t.co/un0Ceq05pW;
Mon Apr 18 02:28:58 +0000 2016;_elsagarcia_;Felicidades @kevin_gastelum @Daniel_Corral @aLexa_M0 @analago95 
#TestEvent #Rio2016 #TeamMex #Gymnastics 
🏆💚⚪️❤️🏆 https://t.co/Rq68qO7PDo;
Mon Apr 18 02:26:41 +0000 2016;El_Gooordo;RT @tomasgonzalez1: Allá vamos!!!🎉 #rio2016 @ Rio de Janeiro, Brazil https://t.co/sntNz7KLNH;
Mon Apr 18 02:23:43 +0000 2016;NunesJoatan;RT @Corinthians: É nóis no @Rio2016! Leonardo de Deus garante vaga olímpica nos 200m borboleta no #MariaLenk https://t.co/un0Ceq05pW;
Mon Apr 18 02:22:54 +0000 2016;Arthurrf1;RT @dilmabr: Inaugurei hj o Estádio Aquático Olímpico, no RJ, q será palco das competições de natação e pólo aquático do @Rio2016 https://t…;
Mon Apr 18 02:21:27 +0000 2016;fredtenchini;Será que durante a @Rio2016 vai faltar luz quase todo dia na Abelardo Bueno???;
Mon Apr 18 02:20:44 +0000 2016;babypolli;RT @tomasgonzalez1: Allá vamos!!!🎉 #rio2016 @ Rio de Janeiro, Brazil https://t.co/sntNz7KLNH;
Mon Apr 18 02:19:49 +0000 2016;CRF_TINGA;RT @dilmabr: Inaugurei hj o Estádio Aquático Olímpico, no RJ, q será palco das competições de natação e pólo aquático do @Rio2016 https://t…;
Mon Apr 18 02:18:29 +0000 2016;Raahsan;Pelo menos a Dilma não vai ser vaiada na abertura da #Rio2016;
Mon Apr 18 02:17:11 +0000 2016;carolandrea32;RT @tomasgonzalez1: Allá vamos!!!🎉 #rio2016 @ Rio de Janeiro, Brazil https://t.co/sntNz7KLNH;
Mon Apr 18 02:17:09 +0000 2016;sepulviier;RT @tomasgonzalez1: Allá vamos!!!🎉 #rio2016 @ Rio de Janeiro, Brazil https://t.co/sntNz7KLNH;
Mon Apr 18 02:16:50 +0000 2016;sancar_28;Flavinha nas barras assimétricas!! Ficou em segundo, show de bola!  #Rio2016 #olimpiadas2016… https://t.co/oNlqpKumyT;
Mon Apr 18 02:16:48 +0000 2016;clinicaMEDS;RT @tomasgonzalez1: Allá vamos!!!🎉 #rio2016 @ Rio de Janeiro, Brazil https://t.co/sntNz7KLNH;
Mon Apr 18 02:13:04 +0000 2016;puertomontt25;RT @dilmabr: Parabéns, Rio de Janeiro! Hoje é aniversário da cidade maravilhosa, que acolherá os Jogos Olímpicos e Paralímpicos de 2016. #R…;
Mon Apr 18 02:12:47 +0000 2016;lia19ferreira;RT @SeuEsporteBR: Primeira Olimpíada com 16 anos. Senhoras e Senhores, Flavinha Saraiva. Pequena Gigante! #Rio2016 https://t.co/Mm6VttI5To;
Mon Apr 18 02:12:06 +0000 2016;tuitsybotellas;Dilma no calificó para #Rio2016;
Mon Apr 18 02:09:55 +0000 2016;CTinelli66;@Corinthians @Rio2016 Parabéns.;
Mon Apr 18 02:09:39 +0000 2016;CTinelli66;RT @Corinthians: É nóis no @Rio2016! Leonardo de Deus garante vaga olímpica nos 200m borboleta no #MariaLenk https://t.co/un0Ceq05pW;
Mon Apr 18 02:08:45 +0000 2016;Reylex;#17A Caida Foro de Sao Paulo  #Impeachment #Rio2016 Tendencia Irreversible342 Votos Sim #ForaDilma @br45ilnocorrupt https://t.co/QHKPh4CEnQ;
Mon Apr 18 02:07:00 +0000 2016;nathdfigueiredo;Vai ter Time Brasil nas olimpíadas SIM!!!! 
#Rio2016 #GinasticaOlimpica #ACaminhoDasOlimpiadas… https://t.co/j2wKIIT8hp;
Mon Apr 18 02:05:17 +0000 2016;gustavo_smn;RT @sergiobrother1: Quem vai ser o presidente que estará na abertura das olimpíadas? #Rio2016;
Mon Apr 18 02:04:47 +0000 2016;GustavoLGAB;RT @SeuEsporteBR: CAMPEÃS!!! #Rio2016!! https://t.co/GNc6BUIlTU;
Mon Apr 18 02:04:36 +0000 2016;sergiobrother1;Quem vai ser o presidente que estará na abertura das olimpíadas? #Rio2016;
Mon Apr 18 02:02:34 +0000 2016;sohdezooah;RT @SeuEsporteBR: CAMPEÃS!!! #Rio2016!! https://t.co/GNc6BUIlTU;
Mon Apr 18 02:02:28 +0000 2016;thaisadiz;RT @SeuEsporteBR: CAMPEÃS!!! #Rio2016!! https://t.co/GNc6BUIlTU;
Mon Apr 18 02:02:08 +0000 2016;Seba_Pereira;RT @SurtoOlimpico: A Linha 4 terá funcionamento restrito durante o @Rio2016 https://t.co/V5CmcDlbgV https://t.co/nGOP7A9CTx;
Mon Apr 18 02:01:19 +0000 2016;Regys_Silva;RT @SurtoOlimpico: A Linha 4 terá funcionamento restrito durante o @Rio2016 https://t.co/V5CmcDlbgV https://t.co/nGOP7A9CTx;
Mon Apr 18 02:01:15 +0000 2016;Regys_Silva;RT @SurtoOlimpico: A Austrália define a equipe de Natação para o @Rio2016 https://t.co/PzXOfv3DRw https://t.co/d6jcWbxCJz;
Mon Apr 18 02:00:58 +0000 2016;Regys_Silva;RT @SurtoOlimpico: o dia 2 do evento-teste do Tiro Esportivo para o @Rio2016 https://t.co/X1HLuP85a1 https://t.co/JJGccF7wtc;
