/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Fri Apr 29 01:49:56 +0000 2016| user = f_castanha| text = RT @alcalejon: 100 dias pro @Rio2016! Quem lembra do drama dos mineiros contra Berdych/Stepanek em 2012? 4 MPs salvos e 24/22 no 3º https:/…
date = Fri Apr 29 01:43:01 +0000 2016| user = arevengerstale| text = RT @Rio2016: . @MichaelPhelps quer mais medalhas no #Rio2016 e se emociona ao pensar nisso: https://t.co/SmxAiBSwEz https://t.co/v3P1nP3wMy
date = Fri Apr 29 01:30:18 +0000 2016| user = EmbaixadaEUA| text = Confira entrevista da #EmbAyade ao @jornaldaglobo sb campanha #USinRio p/ Jogos @Rio2016: https://t.co/djN9wM08Kp #Rio2016
date = Fri Apr 29 01:27:16 +0000 2016| user = thejockermen| text = RT @SuzyCortez_: Nota no site da TV @FoxSports_br https://t.co/Bj33QsPAyH #missbumbumbrasil #foxsportsbrasil #rio2016 #tochaolimpica https:…
date = Fri Apr 29 01:27:11 +0000 2016| user = souza_davis| text = Latinha Coca Cola #IssoÉOuro #Rio2016 #CocaCola #SintaOSabor #ShareACoke #CocaColaFM #TochaOlimpica #olx #cocazero
https://t.co/7WRweHv4Ol
date = Fri Apr 29 01:26:15 +0000 2016| user = BarbosaVasco197| text = RT @g1rio: Rio 2016 tem novas audições para cerimônias; veja como se inscrever https://t.co/CAu5ZnDger
date = Fri Apr 29 01:24:52 +0000 2016| user = EdugmRJ| text = RT @fimdejogo: amigos em todos os ângulos. nosso big brother do maracanã - #rio2016 https://t.co/Md7ZVU2b6m
date = Fri Apr 29 01:24:45 +0000 2016| user = Medeirooos_| text = @dudyffc esse site ajuda bastante: https://t.co/8dJlkjLADY
date = Fri Apr 29 01:23:58 +0000 2016| user = fimdejogo| text = amigos em todos os ângulos. nosso big brother do maracanã - #rio2016 https://t.co/Md7ZVU2b6m
date = Fri Apr 29 01:21:14 +0000 2016| user = MelhordoVolei| text = O final da história envolvendo Meldonium, Markin e Seleção Russa #Rio2016
https://t.co/Bg7LLqLzqG https://t.co/s5ISnZIZox
date = Fri Apr 29 01:17:50 +0000 2016| user = MatildeCavalca3| text = RT @GEdoBrasil: Por aqui #osjogosjácomeçaram, mas não vemos a hora para a cerimônia de abertura! @Rio2016 #Faltam100Dias #RumoAoRio https:/…
date = Fri Apr 29 01:15:36 +0000 2016| user = jefebrasil| text = RT @portalfab: O Bi-Campeão da maratona de NY e Campeão Pan-Americano de Guadalarara é FAB!! E vem com tudo na #Rio2016! #Marílson https://…
date = Fri Apr 29 01:15:29 +0000 2016| user = SimoneSousaRoch| text = RT @99taxis: A 99 anuncia: faltam 99 dias para as Olimpíadas 2016 #99nasOlimpíadas #Rio2016 https://t.co/diB0uVXf6m
date = Fri Apr 29 01:14:22 +0000 2016| user = GustavoM2014| text = RT @portalbrasil: Ao redor do mundo, 13 cidades fazem homenagem aos Jogos #Rio2016 @Brasil2016 💚💛#SomosTodosBrasil https://t.co/8DIdRbEgwF
date = Fri Apr 29 01:09:37 +0000 2016| user = nednana| text = RT @EmbaixadaEUA: #USinRio tem como objetivo aumentar #interação entre #brasileiros e #americanos! Confira essa matéria: https://t.co/djN9w…
date = Fri Apr 29 01:09:05 +0000 2016| user = welsinner| text = RT @Brasil2016: Medalhista olímpico e gerente de esportes aquáticos do @Rio2016, Ricardo Prado fez balanço positivo do #EventoTeste https:/…
date = Fri Apr 29 01:07:27 +0000 2016| user = Janianecastro13| text = RT @SeuEsporteBR: Oito atletas olímpicos brasilienses conduzirão a tocha na capital do país #Rio2016 #99dias https://t.co/nnpXNvpsi4
date = Fri Apr 29 01:07:16 +0000 2016| user = Janianecastro13| text = RT @SeuEsporteBR: Contagem regressiva:

#99Dias
#Rio2016 https://t.co/QJiFQjbtId
date = Fri Apr 29 01:06:05 +0000 2016| user = mvlacerda| text = RT @Brasil2016: Medalhista olímpico e gerente de esportes aquáticos do @Rio2016, Ricardo Prado fez balanço positivo do #EventoTeste https:/…
date = Fri Apr 29 01:05:58 +0000 2016| user = rodolfoborduqui| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Fri Apr 29 01:03:14 +0000 2016| user = rlvalves| text = RT @Brasil2016: Medalhista olímpico e gerente de esportes aquáticos do @Rio2016, Ricardo Prado fez balanço positivo do #EventoTeste https:/…
date = Fri Apr 29 01:02:32 +0000 2016| user = AlbertoSanttos| text = RT @SeuEsporteBR: Oito atletas olímpicos brasilienses conduzirão a tocha na capital do país #Rio2016 #99dias https://t.co/nnpXNvpsi4
date = Fri Apr 29 01:00:30 +0000 2016| user = EmbaixadaEUA| text = #USinRio tem como objetivo aumentar #interação entre #brasileiros e #americanos! Confira essa matéria: https://t.co/djN9wM08Kp #Rio2016
date = Fri Apr 29 01:00:14 +0000 2016| user = Rio2016| text = A cerimônia de passagem da @ChamaOlimpica marcou o #Faltam100Dias para os @JogosOlimpicos. Assista: https://t.co/eHzHTRDdPU
date = Fri Apr 29 00:53:19 +0000 2016| user = leonardoune| text = RT @minesporte: O LBCD é um dos poucos laboratórios credenciados pela WADA, com o melhor equipamento pronto pros Jogos #Rio2016 https://t.c…
date = Fri Apr 29 00:52:42 +0000 2016| user = SeuEsporteBR| text = Oito atletas olímpicos brasilienses conduzirão a tocha na capital do país #Rio2016 #99dias https://t.co/nnpXNvpsi4
date = Fri Apr 29 00:51:52 +0000 2016| user = FranchoBaron| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Fri Apr 29 00:51:12 +0000 2016| user = Brasil2016| text = Medalhista olímpico e gerente de esportes aquáticos do @Rio2016, Ricardo Prado fez balanço positivo do #EventoTeste https://t.co/D0N0dBtyf1
date = Fri Apr 29 00:44:32 +0000 2016| user = jaozinfeitosa| text = RT @Rio2016: O condutor Ibrahim Al-Hussein, representando os expatriados do mundo, carregando a @ChamaOlimpica. Que belo momento! https://t…
date = Fri Apr 29 00:44:17 +0000 2016| user = cidade_maravilh| text = RT @RafaMoura: foto de male_freedom https://t.co/yyTlFQD6hV.   #praia #RioOlympics2016 #Rio2016 #Brasil #Brasil #sunset #boys #boy #RioDeJa…
date = Fri Apr 29 00:35:55 +0000 2016| user = RafaMoura| text = foto de male_freedom https://t.co/yyTlFQD6hV.   #praia #RioOlympics2016 #Rio2016 #Brasil #Brasil #sunset #boys #boy #RioDeJaneiro #carioca
date = Fri Apr 29 00:34:54 +0000 2016| user = Export2Brazil| text = RT @EmbaixadaEUA: A campanha #USinRio já foi lançada pela #EmbAyalde! Participe c/ a gente! https://t.co/djN9wM08Kp #RioOlympics #Rio2016 #…
date = Fri Apr 29 00:32:16 +0000 2016| user = Luiz_Dorea| text = Esse é o atual Boxe Olímpico!! Estamos muito bem representados nos Jogos Olímpicos do #rio2016 com @robson60... https://t.co/uTyKQDjnh8
date = Fri Apr 29 00:31:40 +0000 2016| user = isadorabizan| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Fri Apr 29 00:30:22 +0000 2016| user = EmbaixadaEUA| text = A campanha #USinRio já foi lançada pela #EmbAyalde! Participe c/ a gente! https://t.co/djN9wM08Kp #RioOlympics #Rio2016 #TeamUSA
date = Fri Apr 29 00:30:15 +0000 2016| user = Luiz_Dorea| text = Esse é o atual Boxe Olímpico!! Estamos muito bem representados nos Jogos Olímpicos do #rio2016… https://t.co/61y87I5M6X
date = Fri Apr 29 00:28:45 +0000 2016| user = Keynd| text = É do Brasil: Grécia entrega chama dos Jogos Olímpicos ao Rio 2016 https://t.co/NKH4On1nif
date = Fri Apr 29 00:28:33 +0000 2016| user = Re_cullen| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Fri Apr 29 00:26:58 +0000 2016| user = m8comunicacao| text = #Rio2016: Twitter lança campanha para conectar marcas, turistas e atletas https://t.co/hv3TeoXvWv
date = Fri Apr 29 00:21:10 +0000 2016| user = mundotri| text = Que mecânica de corrida! E é apenas o 1o treino dela na pista no ano! Que venha o #Rio2016… https://t.co/jBabLG0gXv
