/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Wed Jun 15 03:09:14 +0000 2016;jonaslmoura;Presidente do COI faz boa avaliação de Temer em relação à Rio-2016 | LANCE! https://t.co/ozhGJ4Q1DH;
Wed Jun 15 03:07:12 +0000 2016;VeronicaHxoxoxo;@rio2016_es ¡Felicidades! Tarde pero seguro. 
Parabéns! Tarde Porém seguro.🇧🇷😘 #Diadelamor #Diadoamor 💘;
Wed Jun 15 03:07:09 +0000 2016;odetebaccon;RT @MichelTemer: (AI) Presidente em exercício, Michel Temer, já está no Rio de Janeiro para os ajustes finais nas instalações para os Jogos…;
Wed Jun 15 03:06:55 +0000 2016;jonaslmoura;Confira! Medalhas dos Jogos Rio-2016 são reveladas | LANCE! https://t.co/ve6qDE6bEX;
Wed Jun 15 03:06:35 +0000 2016;suiadylan;RT @anistiabrasil: Moradores da favela de Acari relatam noites de medo e tensão. https://t.co/Bbyh3S1tex #Rio2016 #DigaNãoÀExecução https:/…;
Wed Jun 15 03:02:51 +0000 2016;princesaamassu;RT @g1: Comitê Rio 2016 apresenta medalhas da Olimpíada e da Paralimpíada https://t.co/gaEQIEEWNw #G1 https://t.co/qQiVl9Ouzk;
Wed Jun 15 03:01:25 +0000 2016;ampg5;RT @blogplanalto: .@MichelTemer garante apoio financeiro aos Jogos #Rio2016 https://t.co/XTE4JZlr8L https://t.co/TRM6B8O9yI;
Wed Jun 15 02:58:04 +0000 2016;dieguinholsc;RT @Rio2016: As medalhas Olímpicas no detalhe! São lindas! #MedalhasRio2016 😍🏅 https://t.co/y5BCvanIpL;
Wed Jun 15 02:57:24 +0000 2016;suankmelo;Para mim, no mínimo, não foi o termo mais correto o escolhido para a medalha. #Rio2016 #Rio2016Medals https://t.co/gDoCyp2pu4;
Wed Jun 15 02:55:38 +0000 2016;celebrone;Pensa um cara feliz. #rio2016 https://t.co/MynRcmtIs3;
Wed Jun 15 02:54:13 +0000 2016;Kawan_Oficial;RT @andchags: ENTRANDO EM FORMAÇÃO
#formation #blackpower #lemonade #Rio2016 #cidadeolimpica #pica #migas… https://t.co/PUVD8fJTzF;
Wed Jun 15 02:52:45 +0000 2016;R4M0R3;RT @JogosOlimpicos: Em detalhes: as medalhas olímpicas dos Jogos @Rio2016. Lindas! 😍 https://t.co/rKGwA0cIAb;
Wed Jun 15 02:51:43 +0000 2016;ilobur_news;#Rio2016 #ブラジル #五輪 Financiamento para conclusão de metrô para Rio 2016 será ...
Jornal Extra
RIO DE JANEIRO (Reute… https://t.co/VN6FFXA1eD;
Wed Jun 15 02:51:29 +0000 2016;JPRocha02;RT @JogosOlimpicos: Em detalhes: as medalhas olímpicas dos Jogos @Rio2016. Lindas! 😍 https://t.co/rKGwA0cIAb;
Wed Jun 15 02:46:53 +0000 2016;marcosbrothersB;@marcusrhjunior @Rio2016 @JogosOlimpicos @ViniciusRio2016 @timebrasil vamos ganhar varias https://t.co/gsny8d1tXu;
Wed Jun 15 02:43:22 +0000 2016;denisestarblue;RT @ChamaOlimpica: E sigo minha caminhada #RumoAoRio! 5⃣3⃣  dias para o @Rio2016 😃 #ChamaOlimpica https://t.co/QEThVqUcNe;
Wed Jun 15 02:41:59 +0000 2016;Gabriel_H_R_P;【DREAM "FITA" PROJECT | Panasonic】O Neymar Jr. está torcendo pelo seu sonho. https://t.co/Avm3SMfiOM #NEYMAR_DFP https://t.co/wtPZS8FRtO;
Wed Jun 15 02:39:24 +0000 2016;AlysonBitt;RT @Miltonneves: @kazzttor @ChamaOlimpica @Rio2016 mas no celular estou bonitão, sô https://t.co/jO9f9AY7zr;
Wed Jun 15 02:38:50 +0000 2016;willygueto;sem palavras para meu colega de curso!!!
 https://t.co/AL5gAJMxug;
Wed Jun 15 02:37:18 +0000 2016;ricardohirano;RT @Rio2016: As medalhas Paralímpicas têm guizos e ouro, prata e bronze fazem sons diferentes.#MedalhasRio2016 https://t.co/YBK3RAGyns;
Wed Jun 15 02:36:33 +0000 2016;denisestarblue;RT @Brasil2016: 🏅 Expectativa aumenta pros Jogos Paralímpicos @Rio2016 ao ver as medalhas! 🏅 https://t.co/vOS4IEmVVT;
Wed Jun 15 02:36:15 +0000 2016;ricardohirano;RT @Rio2016: As medalhas Olímpicas no detalhe! São lindas! #MedalhasRio2016 😍🏅 https://t.co/y5BCvanIpL;
Wed Jun 15 02:34:49 +0000 2016;emersonbraz;RT @alexpussieldi: Globo/SporTV estúdio panorâmico no Parque Olímpico da Barra, a americana NBC será em Copacabana. #Rio2016 https://t.co/0…;
Wed Jun 15 02:31:52 +0000 2016;KellyAnnHarris4;RT @UNICEF: Rayanne da Silva Xavier, 16, carries the #Olympicflame w/ @unicefbrasil in São Luís, #Brazil #TeamUNICEF #Rio2016 https://t.co/…;
Wed Jun 15 02:30:02 +0000 2016;suankmelo;@Rio2016 Não deveria estar escrito "jogos olímpicos" na medalha? O termo "Olimpíada" se refere ao período de 4 anos, não?;
Wed Jun 15 02:28:32 +0000 2016;DrDavidNogueira;RT @DepLeopicciani: O atendimento é diário, inclusive aos sábados, domingos e feriados. Para saber mais, basta ligar no 0800 282 0708. #Oli…;
Wed Jun 15 02:28:28 +0000 2016;o_niick;RT @sadia: E aí, já conhece nossos Mascotes Esportivos? Imagina ter essa coleção completa! 😍 https://t.co/QZbgTxW6cx https://t.co/hstd7rTxq5;
Wed Jun 15 02:26:44 +0000 2016;athati87;RT @DepLeopicciani: O atendimento é diário, inclusive aos sábados, domingos e feriados. Para saber mais, basta ligar no 0800 282 0708. #Oli…;
Wed Jun 15 02:26:16 +0000 2016;Mauricio_felix;RT @alexpussieldi: Globo/SporTV estúdio panorâmico no Parque Olímpico da Barra, a americana NBC será em Copacabana. #Rio2016 https://t.co/0…;
Wed Jun 15 02:25:05 +0000 2016;alexpussieldi;Globo/SporTV estúdio panorâmico no Parque Olímpico da Barra, a americana NBC será em Copacabana. #Rio2016 https://t.co/06uxUBh5OT;
Wed Jun 15 02:24:20 +0000 2016;asmreis;@alinenastari caso o TITE aceite convite da CBF somente para o time principal, quem comandará a @CBF_Futebol nos @JogosOlimpicos #Rio2016?;
Wed Jun 15 02:22:45 +0000 2016;kazzttor;@Miltonneves @ChamaOlimpica @Rio2016 Pagando de gatinho com iPhone, né? Sei...;
Wed Jun 15 02:22:23 +0000 2016;SerginhoSurge;@ChamaOlimpica @Miltonneves @Rio2016 também com uma cabeça desse tamanho! Cabeça de jaca!;
Wed Jun 15 02:22:16 +0000 2016;larisscarvalhof;RT @Rio2016: As medalhas Olímpicas no detalhe! São lindas! #MedalhasRio2016 😍🏅 https://t.co/y5BCvanIpL;
Wed Jun 15 02:20:09 +0000 2016;lilulina22;Recorrer ...  #rio2016 °°° https://t.co/lPkosQQ1up;
Wed Jun 15 02:19:32 +0000 2016;albertomurray;RT @rafavalesi: Ex-ministro do Esporte, @RicardoLeyser agora trabalha ao lado de Eduardo Paes na organização da Olimpíada do Rio - https://…;
Wed Jun 15 02:17:10 +0000 2016;Miltonneves;@kazzttor @ChamaOlimpica @Rio2016 mas no celular estou bonitão, sô https://t.co/jO9f9AY7zr;
Wed Jun 15 02:16:08 +0000 2016;kazzttor;@Miltonneves @ChamaOlimpica @Rio2016 😂😂😂😂😂😂😂 Poxa, Milton, pede pro fotógrafo arrumar direito!;
Wed Jun 15 02:15:02 +0000 2016;_Faisca2011_;RT @GEdoBrasil: Saiba como preparamos o RJ para os Jogos @Rio2016 na #DRONEWEEK! Veja o 1º episódio aqui:https://t.co/zQL00rz5c2  #OsJogosJ…;
Wed Jun 15 02:14:11 +0000 2016;sadia;E aí, já conhece nossos Mascotes Esportivos? Imagina ter essa coleção completa! 😍 https://t.co/QZbgTxW6cx https://t.co/hstd7rTxq5;
Wed Jun 15 02:12:35 +0000 2016;RicardoLeyser;RT @alexpussieldi: Se existe um político que merece ser homenageado nesta Olimpíada é @RicardoLeyser https://t.co/eX9HmKpPu4 #Rio2016;
