/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun Jun 19 02:26:19 +0000 2016;ricardofreaza;RT @AlexandreJus: Você nos conhece? Isso mesmo, somos os mascotes: Calamidade e Pública! #Rio2016 https://t.co/eKPEjDTKCt;
Sun Jun 19 02:25:54 +0000 2016;stopfollowme;@givemeasecond_ aquecimento pro #Rio2016;
Sun Jun 19 02:24:30 +0000 2016;biahhprado;Já vi o time masculino de vôlei de quadra ganhar campeonato mundial, liga mundial, mas nunca uma Olimpíada #BrasilJogaPraMim #Rio2016;
Sun Jun 19 02:23:37 +0000 2016;ArthurSimas02;Vamo nessa ver como está nossa seleção, pra fechar o sábado tranquilo #VaaaiBrasil #Rio2016;
Sun Jun 19 02:23:05 +0000 2016;marvio;@Chico_PC @Rio2016 Aqui é trabalho. Mas eu vou gostar.;
Sun Jun 19 02:22:00 +0000 2016;Chico_PC;@marvio @Rio2016 tudo? Não tem um dia de folga pra ir la ao vivo?;
Sun Jun 19 02:20:54 +0000 2016;marvio;@Chico_PC @Rio2016 Rapaz, e eu que vou ver tudo da Redação pela TV? Mas dei uns ingressos pra minha mulher, de Dia dos Namorados.;
Sun Jun 19 02:19:30 +0000 2016;Chico_PC;@marvio vou ver BRAxUSA na @Rio2016 .. dei sorte no ingresso;
Sun Jun 19 02:18:48 +0000 2016;bruno_leo_nardo;RT @AlexandreJus: Você nos conhece? Isso mesmo, somos os mascotes: Calamidade e Pública! #Rio2016 https://t.co/eKPEjDTKCt;
Sun Jun 19 02:17:03 +0000 2016;InaiaraPlus;Assim serão os julgamentos durante a rio2016 https://t.co/oF738ISaub;
Sun Jun 19 02:16:31 +0000 2016;marimoraez;RT @AlexandreJus: Você nos conhece? Isso mesmo, somos os mascotes: Calamidade e Pública! #Rio2016 https://t.co/eKPEjDTKCt;
Sun Jun 19 02:15:23 +0000 2016;gustavocarmo2;RT @SPLdA: Estrangeiros com medo do zika vírus no Brasil (recorde-se que o zika chegou no Brasil vindo do exterior). #Rio2016 #Olimpíadas R…;
Sun Jun 19 02:14:00 +0000 2016;G_de_Almeida;RT @AlexandreJus: Você nos conhece? Isso mesmo, somos os mascotes: Calamidade e Pública! #Rio2016 https://t.co/eKPEjDTKCt;
Sun Jun 19 02:13:21 +0000 2016;AdalbertoDantas;RT @AlexandreJus: Você nos conhece? Isso mesmo, somos os mascotes: Calamidade e Pública! #Rio2016 https://t.co/eKPEjDTKCt;
Sun Jun 19 02:12:13 +0000 2016;thiagoarover;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 02:12:02 +0000 2016;CruzeiroEterno7;RT @o_antagonista: Rio2016: Olimpíada do Cocô e da Calamidade https://t.co/kn7Hh3DshD https://t.co/tT3w929pfQ;
Sun Jun 19 02:10:16 +0000 2016;TorcidaBrasil2;Nos Jogos Olímpicos, a maioria dos jogos de #volei do #Brasil serão às 22h35. Devem competir com as finais da #natação.
#VaiBrasil #Rio2016;
Sun Jun 19 02:09:33 +0000 2016;RosangelaBoigu2;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 02:08:56 +0000 2016;georgefassanaro;Meu momento Olímpico!
#tochaolimpica #Rio2016 #TochaemBoaVista #PMBV @ Boa Vista, Roraima https://t.co/EyUHtciRKL;
Sun Jun 19 02:08:55 +0000 2016;lekao77;Foto em familia! #tapioca #rio2016 #cural #fitness #pistache @ Quermesse Nossa Senhora Do Calvario https://t.co/utgiL9jnmf;
Sun Jun 19 02:07:13 +0000 2016;LAXOWIRELESS;@Camisa5estrelas @CBF_Futebol @EstadaoEsporte @Fernando_Prass @Rio2016 graças a Deus! Se não aí q a vaca vai p o brejo msm!;
Sun Jun 19 02:06:58 +0000 2016;SPLdA;Estrangeiros com medo do zika vírus no Brasil (recorde-se que o zika chegou no Brasil vindo do exterior). #Rio2016 #Olimpíadas Rio 2016;
Sun Jun 19 02:05:41 +0000 2016;coachsandrolima;No ultimo teste nada melhor que se ambientar aos horarios dos jogos na @Rio2016 ;@sue_fcs 

 @Giba7 @TiagoLeifert https://t.co/8ZgesppXYW;
Sun Jun 19 02:05:22 +0000 2016;_mamariisouza;Essa música é muito amor!! ❤ https://t.co/Ib8xayDqSC;
Sun Jun 19 02:05:03 +0000 2016;andreh75;@o_antagonista @Rio2016 quem não sabia disso?;
Sun Jun 19 02:04:00 +0000 2016;lisaugustalima;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 02:01:10 +0000 2016;MatheusVital;Foi dada a largada. Cerimônia de premiação, aí vamos nós! #Rio2016… https://t.co/ooREnp82kS;
Sun Jun 19 02:00:56 +0000 2016;CarmineDeSiervi;RT @exercitooficial: Hospital do Exército #HMASP realiza Estágio de Ameaça Terrorista #Rio2016 #jogosseguros https://t.co/rhLm6FmsUh https:…;
Sun Jun 19 02:00:10 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Definidas as últimas equipes do Tiro com Arco no @Rio2016 https://t.co/IuXunTn2WC https://t.co/BsGXnTqSoY;
Sun Jun 19 01:59:57 +0000 2016;roelferreira;RT @AlexandreJus: Você nos conhece? Isso mesmo, somos os mascotes: Calamidade e Pública! #Rio2016 https://t.co/eKPEjDTKCt;
Sun Jun 19 01:59:28 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Destaques do Surto...saíram as últimas vagas individuais do Tiro com Arco no @Rio2016 https://t.co/89LgnMnSXw https://t.…;
Sun Jun 19 01:58:42 +0000 2016;yjacques;RT @AlexandreJus: Você nos conhece? Isso mesmo, somos os mascotes: Calamidade e Pública! #Rio2016 https://t.co/eKPEjDTKCt;
Sun Jun 19 01:57:42 +0000 2016;batista_ione;RT @o_antagonista: Rio2016: Olimpíada do Cocô e da Calamidade https://t.co/kn7Hh3DshD https://t.co/tT3w929pfQ;
Sun Jun 19 01:57:20 +0000 2016;popdesign;Vai começar galera! Saturday night fever #torcidabrasil #rio2016 #fivb #worldleague @ Arena… https://t.co/TWkInqpCXZ;
