/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sat Jan 16 02:08:44 +0000 2016;nickserrano;Atenção: Evitem o Brasil. #Rio2016  https://t.co/sWU106p2i5;
Sat Jan 16 02:06:42 +0000 2016;MarceloLaguna;Com show de Clarissa e Iziane, Brasil passa fácil pela Venezuela | LANCE! https://t.co/Vl5BnQkmOQ;
Sat Jan 16 02:02:57 +0000 2016;laviniagondim;@JorgeXiada @47norberto Rio2016 é igual á CopadasCopas,eles ñ querem resultados,querem PILHAR.Ñ se incomodam c/títulos p/BR,querem SAQUEAR.;
Sat Jan 16 02:01:20 +0000 2016;JairPagno;RT @AqueceRio: Conheça a Arena Carioca 1, casa do #basquete, que vai ser inaugurada com o #eventoteste! https://t.co/wHxFGNCfx3 https://t.c…;
Sat Jan 16 01:19:19 +0000 2016;Aalmeidasousa;@denistd14 @FIBA_es @rio2016_es oi Denilson! Como sempre seguindo os@melhores esportes do mundo;
Sat Jan 16 01:18:37 +0000 2016;ilobur_news;Cesar Cielo vai aos EUA por vaga no Rio 2016 - https://t.co/97YnFhCRE2 (Blogue) https://t.co/lHy9c16YOS #ブラジル #五輪 #Rio2016;
Sat Jan 16 01:06:57 +0000 2016;Morris_Albert_;🌿 Que venha o fim de semana na Cidade Maravilhosa! 🌿 #fds #weekend #riodejaneiro #rio2016… https://t.co/Q515paI8Ca;
Sat Jan 16 01:03:59 +0000 2016;Regys_Silva;RT @SurtoOlimpico: .@DjokerNole virá antes do @Rio2016 fazer aclimatação https://t.co/t7npsh4BS1 https://t.co/7gIt1SQcaO;
Sat Jan 16 00:57:48 +0000 2016;riffdan;RT @SurtoOlimpico: .@DjokerNole virá antes do @Rio2016 fazer aclimatação https://t.co/t7npsh4BS1 https://t.co/7gIt1SQcaO;
Sat Jan 16 00:56:32 +0000 2016;MorganaMC;RT @SurtoOlimpico: .@DjokerNole virá antes do @Rio2016 fazer aclimatação https://t.co/t7npsh4BS1 https://t.co/7gIt1SQcaO;
Sat Jan 16 00:56:13 +0000 2016;SurtoOlimpico;.@DjokerNole virá antes do @Rio2016 fazer aclimatação https://t.co/t7npsh4BS1 https://t.co/7gIt1SQcaO;
Sat Jan 16 00:50:40 +0000 2016;Cris_Barbosa1;RT @FabioCABrandao: Ano olímpico e lá vai meu amigo Alvaro José para a BAND, ser o destaque das transmissões da Rio2016. Sucesso! https://t…;
Sat Jan 16 00:50:14 +0000 2016;eventosdelSUR;Brasília|Brasil. Torneio Internacional Feminino de Basquetebol 15 al 17/Ene. #ArenaCarioca1 🇧🇷 112 x 41 🇻🇪 #AqueceRio #EventoTeste @Rio2016;
Sat Jan 16 00:47:05 +0000 2016;lucasdantas;A arena de basquete. Aqui vai jogar o Dream Team 2016. #rio2016 #AqueceRio @Rio2016 @AqueceRio https://t.co/tkCSP3WIWq;
Sat Jan 16 00:43:23 +0000 2016;raphaelscostarj;Governo gastou R$ 25,6 milhões em campanha sobre Olimpíada https://t.co/fnHGnODewf #Rio2016 E o povo na miséria!;
Sat Jan 16 00:39:15 +0000 2016;MaryVicky2005;Governo gastou R$ 25,6 milhões em campanha sobre Olimpíada https://t.co/alCwsWesTT via @UOLEsporte #Rio2016;
Sat Jan 16 00:37:24 +0000 2016;cegolandia;RT @Rio2016: Você sabia que os esportes Paralímpicos são divididos em classes? Alguns exemplos:
https://t.co/TUmMlCkTxZ https://t.co/I9UobR…;
