/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Wed Jan 13 00:40:32 +0000 2016;Vicreatine1;RT @TheBlurBarbosa: A nova quadra de basquete das Olimpíadas @Rio2016 está linda!! #ArenaCarioca #CidadeOlimpica https://t.co/7pCTztfkq9;
Wed Jan 13 00:39:51 +0000 2016;allanbahia25;@TheBlurBarbosa @Rio2016 casa do mengão pos olimpíadas
 kkkkkk;
Wed Jan 13 00:39:47 +0000 2016;lucasarctic;RT @TheBlurBarbosa: A nova quadra de basquete das Olimpíadas @Rio2016 está linda!! #ArenaCarioca #CidadeOlimpica https://t.co/7pCTztfkq9;
Wed Jan 13 00:39:29 +0000 2016;Schweighoferx;RT @TheBlurBarbosa: A nova quadra de basquete das Olimpíadas @Rio2016 está linda!! #ArenaCarioca #CidadeOlimpica https://t.co/7pCTztfkq9;
Wed Jan 13 00:39:10 +0000 2016;harden_ken;RT @TheBlurBarbosa: A nova quadra de basquete das Olimpíadas @Rio2016 está linda!! #ArenaCarioca #CidadeOlimpica https://t.co/7pCTztfkq9;
Wed Jan 13 00:39:06 +0000 2016;NusaAlex;RT @TheBlurBarbosa: A nova quadra de basquete das Olimpíadas @Rio2016 está linda!! #ArenaCarioca #CidadeOlimpica https://t.co/7pCTztfkq9;
Wed Jan 13 00:39:00 +0000 2016;ScreamForMe;RT @TheBlurBarbosa: A nova quadra de basquete das Olimpíadas @Rio2016 está linda!! #ArenaCarioca #CidadeOlimpica https://t.co/7pCTztfkq9;
Wed Jan 13 00:38:46 +0000 2016;NacaoWarriors;RT @TheBlurBarbosa: A nova quadra de basquete das Olimpíadas @Rio2016 está linda!! #ArenaCarioca #CidadeOlimpica https://t.co/7pCTztfkq9;
Wed Jan 13 00:38:43 +0000 2016;nfcastro_;RT @TheBlurBarbosa: A nova quadra de basquete das Olimpíadas @Rio2016 está linda!! #ArenaCarioca #CidadeOlimpica https://t.co/7pCTztfkq9;
Wed Jan 13 00:38:24 +0000 2016;TheBlurBarbosa;A nova quadra de basquete das Olimpíadas @Rio2016 está linda!! #ArenaCarioca #CidadeOlimpica https://t.co/7pCTztfkq9;
Wed Jan 13 00:21:41 +0000 2016;tortoriello;Falta de controle nas fronteiras eleva risco de atentado na #olimpíada #Rio2016 @Rio2016
https://t.co/AbR2Fj2Moq;
Wed Jan 13 00:21:31 +0000 2016;Bueduardo;Sério?  Kkkkkkkkkkkkkkkkkkkk  Não era a parada canoagem?  #Rio2016 kkkkkkkkk brbrbrbr https://t.co/BmdsUzVBW5;
Wed Jan 13 00:11:03 +0000 2016;Carioca_Surtado;Menos um. Faltam só alguns milhares 
#Rio2016 #riodejaneiro #crime https://t.co/WZg3WywQhO;
Wed Jan 13 00:00:49 +0000 2016;ANTEROGIROTO;Arena Carioca. A casa do basquete na olimpíada @rio2016 https://t.co/L58NX7xP74;
Tue Jan 12 23:55:55 +0000 2016;LaraNadoSincro;RT @raizamtb: Estou me dedicando para #Rio2016 – Você &amp; @Powerade podem me ajudar a chegar lá!! #PowerRaiza https://t.co/K4uQLEAXSi;
Tue Jan 12 23:54:18 +0000 2016;ilobur_news;Evento de música eletrônica recebe Steve Aoki no Maracanã ... - Guia da Semana https://t.co/aOGxawg7wi #ブラジル #五輪 #Rio2016;
Tue Jan 12 23:49:14 +0000 2016;ESBR_2;QUEM É QUEM? 
Sabe identificar quem é Bia e quem é Branca? 
#SincroBrasil #Rio2016 https://t.co/HXN9l8bpok;
Tue Jan 12 23:45:51 +0000 2016;Decio_Coutinho;Procura-se jovens jornalistas para atuar nos Jogos Paralímpicos https://t.co/QeIl5xrrkz;
Tue Jan 12 23:41:42 +0000 2016;adrianovbastos;@g1rio Rio, CIDADE MARAVILHOSA! @SR_K #Rio2016 @LeiSecaMarica;
Tue Jan 12 23:33:49 +0000 2016;joycedixie1974;RT @Rio2016: Quer ver os Jogos mais de perto? Então segue a gente no #Snapchat: rio2016 https://t.co/FxuursA63v;
Tue Jan 12 23:29:18 +0000 2016;JoseAloiseBahia;RT @portalbrasil: 🏆 Fabiana Murer é aposta brasileira para medalhas na #Rio2016 https://t.co/27BJmXn1K3 @minesporte;
Tue Jan 12 23:28:59 +0000 2016;JoseAloiseBahia;RT @portalbrasil: #Rio2016 | Com histórico de sucesso, vela aposta em medalhas na Olimpíada https://t.co/Fd3nDIlbtS @Brasil2016 ⛵;
Tue Jan 12 23:26:54 +0000 2016;Ritmica;RT @Rio2016: Quer ver os Jogos mais de perto? Então segue a gente no #Snapchat: rio2016 https://t.co/FxuursA63v;
