/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun Jan 10 23:57:11 +0000 2016;ilobur_news;Seleções femininas dos EUA e da Rússia garantem vaga para o Rio ... - O Tempo https://t.co/gV4EJFtRrm #ブラジル #五輪 #Rio2016;
Sun Jan 10 23:39:12 +0000 2016;EPHECTO;RT @Angelalerena: Sitio fundamental para ir anticipando #Rio2016  https://t.co/vCwUAXDwUC;
Sun Jan 10 23:32:35 +0000 2016;andresmooney;RT @Angelalerena: Sitio fundamental para ir anticipando #Rio2016  https://t.co/vCwUAXDwUC;
Sun Jan 10 23:31:34 +0000 2016;Angelalerena;Sitio fundamental para ir anticipando #Rio2016  https://t.co/vCwUAXDwUC;
Sun Jan 10 23:21:34 +0000 2016;vinnysacramento;PLANTÃO OLÍMPICO

Vôlei feminino da @Argentina vem aos jogos @Rio2016! https://t.co/rpxZoPZA7O https://t.co/wrPNiheHBw;
Sun Jan 10 22:55:10 +0000 2016;ilobur_news;Argentina e Peru decidirão vaga no vôlei feminino para Rio 2016 - https://t.co/TqLN2IjRKH https://t.co/FGYQnsMXgO #ブラジル #五輪 #Rio2016;
Sun Jan 10 22:49:46 +0000 2016;LuanaPucca;RT @JogosOlimpicos: Boa sorte a todos os atletas que estão treinando forte para os Jogos @Rio2016 ! #RoadToRio https://t.co/q5ceRRfWQH;
Sun Jan 10 22:36:46 +0000 2016;Marcio7766;Eu só seguia a menina para saber informações da Mari, mas ela quer a Rússia campeã no #Rio2016;
Sun Jan 10 22:32:34 +0000 2016;_aanacarolinar;The flash team ⚡#Rio2016 #VamuTime 🍃🏄🚣❤ @ Lago Norte, Brasília https://t.co/5tL0E8v2QF;
Sun Jan 10 22:31:57 +0000 2016;naldooliveira_;Queima de fogos em #Copacabana #virada #perfect #perfeito #2016 #Rio2016 #rio #errejota 😍👌🏼🎇… https://t.co/JNVHoDQ60t;
Sun Jan 10 22:27:30 +0000 2016;Monicaspaixao;@alessandrocohen @OUrsoOficial Contando os dias para o anúncio oficial dos Condutores da Tocha pelo @Rio2016. Na torcida por todos nós!!;
Sun Jan 10 22:21:45 +0000 2016;Rangel_Lucia;RT @Brasil2016: Veja como será feito o controle de dopagem nos Jogos #Rio2016. https://t.co/O17UH08fBG https://t.co/8iA9y0ULkx;
Sun Jan 10 22:12:32 +0000 2016;leodigregorioap;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 22:12:17 +0000 2016;thiagofc1982;Dica: Procura-se jovens jornalistas para atuar nos Jogos Paraolímpicos https://t.co/8ZLbv92z7z;
Sun Jan 10 22:10:49 +0000 2016;rio2016_rio;Dia 21 de dezembro é o dia do atleta. Parabéns para nós e para todos os nossos c... - https://t.co/lg5Ek8c2p8 https://t.co/QjHLwDO9s4;
Sun Jan 10 22:09:33 +0000 2016;Hortencia;Boa viagem. Vão com Deus. @joaov_oliva @antonio_oliva97 #rumoaojogosolimpicos #timebrasil #rio2016  Amo muito ❤️❤️ https://t.co/VxTysbs0aq;
Sun Jan 10 22:08:49 +0000 2016;brunomedeiros;Ipanema a noite🌙🌊
#cariocando #rio2016 #ipanema @ Praia de Ipanema - RJ https://t.co/dm9QFSCt6c;
Sun Jan 10 22:07:33 +0000 2016;DaniBarnabe;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 22:07:18 +0000 2016;anxo_caido;#ARGvPER: 3-0 (25-20/25-20/25-14). Sorpresa no volei feminino. Arxentina clasifícase por vez primeira a uns xogos. #Rio2016. #RoadToRio.;
Sun Jan 10 22:05:10 +0000 2016;rio2016_rio;Eu achei massa. Essa vou guardar!
#rio2016 #1real... - https://t.co/inI8ToPOjm https://t.co/Ch11yfb0Wm;
Sun Jan 10 22:02:07 +0000 2016;SofiaACamargo7;E as férias terminam assim...😏 #errejota #sunset #Rio2016 #tudonosso 💕✨ https://t.co/ZkCFFKdNpg;
Sun Jan 10 21:53:08 +0000 2016;ilobur_news;Técnico da Argentina diz que seria "exagero" levar Messi à Rio-2016 - UOL https://t.co/JpK86K9KwC #ブラジル #五輪 #Rio2016;
Sun Jan 10 21:51:58 +0000 2016;AmorporDyC;Que lindoooooo #Panteras #argentina #Rio2016 💙💙💙💙;
Sun Jan 10 21:46:02 +0000 2016;alissonvalerio;Nos últimos RTs todas as infos sobre o quali mundial de vôlei feminino. #Rio2016;
Sun Jan 10 21:43:08 +0000 2016;tcg277;RT @SurtoOlimpico: Fim de jogo!! A Argentina fecha o 3º set em 25-14, vence o Peru por 3-0 e fará a sua estreia no vôlei feminino Olímpico …;
Sun Jan 10 21:41:02 +0000 2016;abel_victor;e agr a Argentina entra pro grupo dos classificados no vôlei feminino do @Rio2016 o/;
Sun Jan 10 21:40:22 +0000 2016;PauliiDiaaz;Panteras a RIO2016!!!!! 👏👏👏;
Sun Jan 10 21:40:07 +0000 2016;abel_victor;RT @SurtoOlimpico: Fim de jogo!! A Argentina fecha o 3º set em 25-14, vence o Peru por 3-0 e fará a sua estreia no vôlei feminino Olímpico …;
Sun Jan 10 21:39:23 +0000 2016;RicardoRilley86;Argentina 3x0 Peru classificada para o Rio2016;
Sun Jan 10 21:39:03 +0000 2016;SurtoOlimpico;Fim de jogo!! A Argentina fecha o 3º set em 25-14, vence o Peru por 3-0 e fará a sua estreia no vôlei feminino Olímpico no @Rio2016.;
Sun Jan 10 21:37:49 +0000 2016;Triniii4;A DOSSS !!!!!!!! #Rio2016 #VAMOSSSPANTERAS;
Sun Jan 10 21:37:37 +0000 2016;LuisinaOriel;Me rio de janeiroooo con @LasPanterasARG #jjoo #Rio2016 #CaminoARio #HaciendoHistoria #RoadToRio;
Sun Jan 10 21:28:09 +0000 2016;MagaSB;Chau chau Peruuu!!! Nos vamos a #Rio2016 #VoleyEnTyC @YasNizetich @CastiglioneYael @letiboscacci pepitaaa;
Sun Jan 10 21:26:28 +0000 2016;AntonioFla1978;Só que não se pode andar de #bicicleta dentro de um #hospital! Comparações idiotas! Viva o @Rio2016!  https://t.co/eZQlPNZuap;
Sun Jan 10 21:24:59 +0000 2016;nicokissner10nk;@LasPanterasARG  cada vez mas cerca de @rio2016_es
 @TyCSports  @hugoconte07  @JoseMontesano #VóleyEnTyC;
Sun Jan 10 21:09:11 +0000 2016;jepineiro;Segundo set para #LasPanteras! 2 a 0. Cada vez mas cerca de #Rio2016;
Sun Jan 10 21:09:04 +0000 2016;Monicaipef;@LasPanterasARG segundo set adentro.  A u paso de #Rio2016;
Sun Jan 10 21:08:51 +0000 2016;LautaroPrina7;Segundo Set argentino,  a 1 Set de #Rio2016 #VoleyEnTyC;
Sun Jan 10 20:51:37 +0000 2016;ilobur_news;Vôlei masculino da Rússia garante vaga no Rio 2016; Alemanha ... - Terra Brasil https://t.co/AKVdvUrDYr #ブラジル #五輪 #Rio2016;
Sun Jan 10 20:51:01 +0000 2016;sir_gerson;Parejo 2do set #Peru 9-9 #Argentina #PreolimpicoBariloche #RoadToRio #ArribaPeru @FPVPE @rio2016_es;
Sun Jan 10 20:38:44 +0000 2016;steelboysmom;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Sun Jan 10 20:36:58 +0000 2016;AnittaS2Eterno;RT @fastnoticias1: #anitta tem bloco de carnaval indeferido pela Prefeitura do #Rio2016 https://t.co/owihdMNtxA #AnittaNaMocidade #AnittaNo…;
Sun Jan 10 20:34:20 +0000 2016;DES_POP1;RT @fastnoticias1: #anitta tem bloco de carnaval indeferido pela Prefeitura do #Rio2016 https://t.co/owihdMNtxA #AnittaNaMocidade #AnittaNo…;
Sun Jan 10 20:27:48 +0000 2016;rramazzotti;O Rio 2016 me deu uma playlist que é a cara do Brasil. Acesse aqui: https://t.co/GiEqOBFbto;
