/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Fri Jan 01 01:18:33 +0000 2016| user = boteclando| text = Êêê, vida bôôôua! Ouvindo "Espelho", de João Nogueira. #2016 #leblon #rio2016 #réveillon2016… https://t.co/G2ZIp0QxMT
date = Fri Jan 01 01:15:28 +0000 2016| user = djluizmello| text = Vem com tudo 2016 󾍇 #instadj #musicaboa #reveillon2016 #PortoBay #PortoBayRio #DjLuizMello #errejota #rio2016 https://t.co/zCMtBluYqU
date = Fri Jan 01 01:01:37 +0000 2016| user = aguiarnunes| text = @dilmabr @Rio2016 pede pra sair, ninguém aguenta mais você e o PT, vcs quebraram todos os recordes negativos deste país, déficit de 120 bi?
date = Fri Jan 01 01:01:20 +0000 2016| user = esfera_celulose| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 01:01:00 +0000 2016| user = Channel_SCCP| text = E que venha a Copinha SP, Paulistão, Libertadores, Mundial de Clubes, Copa do Brasil, Brasileirão e principalmente, os jogos @Rio2016!!!
date = Fri Jan 01 00:55:21 +0000 2016| user = erneston_gf| text = @dilmabr @Rio2016 Quanta gente analfabeta. Presidenta... Que palavra é essa?
date = Fri Jan 01 00:54:00 +0000 2016| user = erneston_gf| text = @dilmabr @Rio2016 Presidenta?  Isso é fruto da pátria Educadora. Uma palavra que não existe
date = Fri Jan 01 00:52:22 +0000 2016| user = SergioSGTF| text = Carioca que vive distante dos cartões postais no Rio de Janeiro é tratado como rebanho.  @Rio2016 #Rio2016 @dialogabrasil
date = Fri Jan 01 00:52:04 +0000 2016| user = franciscoavner| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 00:51:01 +0000 2016| user = mockinggio| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 00:42:57 +0000 2016| user = frjunioradv| text = Retweeted C. S (@cosme_ssilva):

@dilmabr @Rio2016 Feliz 2016! Muita saúde e paz!
date = Fri Jan 01 00:42:55 +0000 2016| user = frjunioradv| text = RT @cosme_ssilva: @dilmabr @Rio2016 Feliz 2016! Muita saúde e paz!
date = Fri Jan 01 00:42:53 +0000 2016| user = frjunioradv| text = Retweeted C. S (@cosme_ssilva):

@dilmabr @Rio2016 Dilma, você é uma presidenta maravilhosa!
date = Fri Jan 01 00:42:51 +0000 2016| user = frjunioradv| text = RT @cosme_ssilva: @dilmabr @Rio2016 Dilma, você é uma presidenta maravilhosa!
date = Fri Jan 01 00:42:38 +0000 2016| user = GolpeNuncaMais| text = RT @ViniiciusPotter: @dilmabr @Rio2016 Dilma Avante! Estamos contigo! Feliz 2016!
date = Fri Jan 01 00:42:28 +0000 2016| user = frjunioradv| text = Retweeted Vinícius Potter (@ViniiciusPotter):

@dilmabr @Rio2016 Dilma Avante! Estamos contigo! Feliz 2016!
date = Fri Jan 01 00:42:26 +0000 2016| user = frjunioradv| text = RT @ViniiciusPotter: @dilmabr @Rio2016 Dilma Avante! Estamos contigo! Feliz 2016!
date = Fri Jan 01 00:42:17 +0000 2016| user = frjunioradv| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 00:40:36 +0000 2016| user = GodfreyOSWALD| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 00:25:58 +0000 2016| user = Rany_Matheus| text = @ViniiciusPotter @dilmabr @Rio2016 tu come merda ? Ou é cego ?
date = Fri Jan 01 00:24:43 +0000 2016| user = CastroGabryel| text = Hoje eu estou estreando minha primeira foto de capa: os fogos de artifício na inauguração dos Arcos Olímpicos, no Parque Madureira!'@Rio2016
date = Fri Jan 01 00:21:05 +0000 2016| user = lec_amorim| text = Galera treinando corrida para a @Rio2016  https://t.co/z3L2WZylO7
date = Fri Jan 01 00:10:18 +0000 2016| user = lcmoura| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 00:05:01 +0000 2016| user = adeltorohr| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 00:01:24 +0000 2016| user = volunGER| text = RT @JogosOlimpicos: Feliz Ano Olímpico! #Vem2016 218 dias para os Jogos @Rio2016 ! 🎉🎆 https://t.co/OqsFM3Ryfn
date = Thu Dec 31 23:56:27 +0000 2015| user = BrunoMaia77| text = @dilmabr @Rio2016 vai renunciar???? GRAÇAS A DEUS
date = Thu Dec 31 23:56:18 +0000 2015| user = Wellington1961| text = @dilmabr @Rio2016 reze para que não ocorra um atentado terrorista aqui.
date = Thu Dec 31 23:53:59 +0000 2015| user = MigueTHm| text = RT @CiscoDoBrasil: Estamos honrados em ser a primeira empresa de TI a receber o Troféu COI  - Esporte e Inovação no Prêmio BR Olímpico #Tea…
date = Thu Dec 31 23:53:26 +0000 2015| user = MarilynMendezM| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 23:51:22 +0000 2015| user = Joao_Luccas10| text = Feliz ano novo , adeus ano velho .... #Rio2016 #Feliz2016  #AnoNovo
date = Thu Dec 31 23:50:06 +0000 2015| user = AlvernePaiva| text = @dilmabr @Rio2016 cadê o legado da copa que a Sra tanto falou ?
date = Thu Dec 31 23:49:51 +0000 2015| user = ricaue| text = @dilmabr @Rio2016 e a sua equipe vai roubar tanto quanto roubou na Copa?
date = Thu Dec 31 23:48:48 +0000 2015| user = MaDirce| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 23:48:28 +0000 2015| user = dois_min| text = #FelizAnoNovo #Feliz2016 e que venham as Olimpíadas #Rio2016 https://t.co/sNo9TXGvzE
date = Thu Dec 31 23:46:36 +0000 2015| user = Lilu_Alves| text = Nenhum de nós é tão bom quanto todos nós juntos!! 
#Rio2016 #CidadeOlímpica #Partiu2016… https://t.co/YoPOsG0jkB
date = Thu Dec 31 23:43:00 +0000 2015| user = The_Style_Swag| text = Que venha 365 dias de oportunidades. #rio2016 #anonovo #vidanova #oportunidade #sabedoria #fortuna #felicidade #amo… https://t.co/UQ358mEK9p
date = Thu Dec 31 23:42:33 +0000 2015| user = TrendsSaoPaulo| text = Rio 2016, @rio2016 é tendência em #SãoPaulo https://t.co/PdMcROuKjG
date = Thu Dec 31 23:41:59 +0000 2015| user = marcusalbuque| text = Boa sorte a todos os envolvidos nos jogos olímpicos #Rio2016 https://t.co/YyafNmcFiW
date = Thu Dec 31 23:41:02 +0000 2015| user = SergioSGTF| text = Carioca começa 2016 pagando mais por ônibus, barcas e trens https://t.co/mxDHVQ5zYe via @agenciabrasil #Feliz2016 @Rio2016 #Rio2016
date = Thu Dec 31 23:40:32 +0000 2015| user = SergioSGTF| text = Tarifa do Bilhete Único Carioca passará para R$3,80⁰ a partir do próximo sábado https://t.co/whlJ3ojDXi #Feliz2016 #Rio2016 @Rio2016
date = Thu Dec 31 23:38:49 +0000 2015| user = mariosurf| text = @dilmabr @Rio2016 A Olímpiada do Cocô, da dengue e dos hospitais fechados?
date = Thu Dec 31 23:37:52 +0000 2015| user = Jarnh_| text = RT @JogosOlimpicos: .@Rio2016 tá chegando... e a temperatura aumentando! #RoadToRio https://t.co/oDR9tuUsB2
date = Thu Dec 31 23:36:46 +0000 2015| user = DairoSoares| text = RT @marcelo_naddeo: @dilmabr @Rio2016 VTNC!!! Como vc se atreve a falar das Olimpiadas ?? Saúde um CAOS NO RJ!! Tem $ p/ os jogos e falta p…
date = Thu Dec 31 23:36:25 +0000 2015| user = DairoSoares| text = RT @Luissenna: @dilmabr @ItamaratyGovBr @Rio2016 e sem precisar de VISTO! Porta aberta ao terrorismo! 👏🏽👏🏽👏🏽👏🏽
date = Thu Dec 31 23:31:44 +0000 2015| user = SergioSGTF| text = Feliz R$ 3,80 
Feliz Ano Novo !!!
Se fode aí CARIOCA POBRE !!! 
. #Feliz2016 #Feliz40Centavos  @Rio2016​ @DialogaBrasil
date = Thu Dec 31 23:28:34 +0000 2015| user = rio2016_rio| text = Jardim Botânico do Rio de Janeiro  #RioDeJaneiro  #Rio450anos #Rio2016 #Rio450 - https://t.co/4wGQgwg1QN https://t.co/NOVgwlYqe3
date = Thu Dec 31 23:27:12 +0000 2015| user = ilobur_news| text = Transportes ficam mais caros em 2016 - O Dia Online https://t.co/n32FFdxzfG #ブラジル #五輪 #Rio2016
date = Thu Dec 31 23:27:01 +0000 2015| user = rio2016_rio| text = Encontro de antigos medalhistas da vela com os atuais representantes do #rio2016... - https://t.co/EuefT7EYVf https://t.co/JrGq7OuJT2
date = Thu Dec 31 23:23:27 +0000 2015| user = joel_silva22| text = @dilmabr @Rio2016 para o Brasil melhores no nosso dia-dia e não para enriquecer nas costas do dinheiro público
date = Thu Dec 31 23:22:43 +0000 2015| user = arqmonicamendes| text = Rio2016 que o sol faça a sua pele dourada brilhar ao luar, mas também denuncie sua beleza na luz do foguetório. https://t.co/7qRZWJLEpf
date = Thu Dec 31 23:22:39 +0000 2015| user = marcioendles| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 23:22:15 +0000 2015| user = SergioSGTF| text = Aumento da Passagem no Rio de Janeiro de 0,40 em 2016 é um abuso. 
#Feliz2016 #Feliz40Centavos #Rio2016 #Rio40Centavos
date = Thu Dec 31 23:21:57 +0000 2015| user = joel_silva22| text = @dilmabr @Rio2016  os políticos precisa ser mais patriotas e menos benefício para si próprio pois os brasileiros colocam no poder
date = Thu Dec 31 23:19:50 +0000 2015| user = gilmarok| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 23:19:13 +0000 2015| user = Vangobe| text = @dilmabr @Rio2016 Será a tsmpa do caixão esse Rio2016!!! Tristeza!!! Tanta gastança do nosso dinheiro! #ex-futuro-rico-brasil  #pobrebrasil
date = Thu Dec 31 23:18:25 +0000 2015| user = Freitas_Lais| text = RT @JogosOlimpicos: Feliz Ano Olímpico! #Vem2016 218 dias para os Jogos @Rio2016 ! 🎉🎆 https://t.co/OqsFM3Ryfn
date = Thu Dec 31 23:18:20 +0000 2015| user = gabriwljesus| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 23:16:37 +0000 2015| user = Ferri_room| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 23:16:23 +0000 2015| user = rio2016_rio| text = Treino com carla andrade hj.... . ●/ '' #crossfit.  #malhação #marceloararofici... - https://t.co/gPc9gOmDpg https://t.co/E7DolSsmiq
date = Thu Dec 31 23:15:50 +0000 2015| user = EdevaldoEtp| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 23:14:47 +0000 2015| user = ricardoale7| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 23:14:06 +0000 2015| user = Embarque| text = Encontre aqui sua hospedagem para os Jogos Olímpicos e paralímpicos Rio 2016 
#Rio2016 |... https://t.co/Ais1A8NCoD
date = Thu Dec 31 23:09:38 +0000 2015| user = gespproducoes| text = #RedeESPnasOlimpíadas:
Faltam 218 dias para @Rio2016!
date = Thu Dec 31 23:08:28 +0000 2015| user = kazzttor| text = O meu #RaspberryPi mandou um #Feliz2016 pra vc @rio2016
date = Thu Dec 31 23:07:46 +0000 2015| user = William_Felix1| text = RT @portalfab: Já são mais de 100 snipers formados pelo BINFAE-CO, ún/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
ica unidade da FAB q prepara atiradores de precisão. #Rio2016 https://…
date = Thu Dec 31 23:06:56 +0000 2015| user = AlmadaTiago| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 23:06:43 +0000 2015| user = DouglasNeman| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 23:02:27 +0000 2015| user = farrapo_b| text = RT @felipejj_: ahnão vai ter rio2016 etc
date = Thu Dec 31 23:00:39 +0000 2015| user = felipejj_| text = ahnão vai ter rio2016 etc
date = Thu Dec 31 22:55:35 +0000 2015| user = ambasouza| text = RT @bilicps: @dilmabr @Rio2016 #DilmaFica  com Deus!
