/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sat Feb 06 01:05:53 +0000 2016;SurtoOlimpico;.@BrunoSoares82 mira o ouro no @Rio2016 https://t.co/gZ1oITTNzH https://t.co/8nj5YwGc8e;
Sat Feb 06 01:03:52 +0000 2016;MariaPe45;RT RT MBellinzaghi: Síndrome associada ao zika que provoca paralisia explode no Rio https://t.co/EyXCtiQoOZ #Rio2016 #Caos #BrazilFail;
Sat Feb 06 01:03:18 +0000 2016;ltrezzi;RT @MBellinzaghi: Síndrome associada ao zika que provoca paralisia explode no Rio https://t.co/pn33orEiu8 #Rio2016 #Caos #BrazilFail;
Sat Feb 06 01:01:48 +0000 2016;lipefriedrich;RT @SurtoOlimpico: .@CaroWozniacki será a porta-bandeira da Dinamarca no @Rio2016 https://t.co/61NdbeHrnQ https://t.co/mN3qFkOE1F;
Sat Feb 06 00:56:52 +0000 2016;Campos13Edson;@Olympics @sport24live @Rio2016 BENVINDOS!;
Sat Feb 06 00:52:27 +0000 2016;SurtoOlimpico;.@CaroWozniacki será a porta-bandeira da Dinamarca no @Rio2016 https://t.co/61NdbeHrnQ https://t.co/mN3qFkOE1F;
Sat Feb 06 00:51:01 +0000 2016;SurtoOlimpico;Destaques do Surto...Governo nega boatos de cancelamento do @Rio2016 por causa do #ZikaVirus https://t.co/8r5UKbHtDR https://t.co/EKyAUh4hOi;
Sat Feb 06 00:35:52 +0000 2016;MariaOiticica;RT @g1: FOTOS: primeira noite de desfiles da série A no Rio https://t.co/BYnj1eLhI6 #Globeleza #G1 https://t.co/NNunYSagUN;
Sat Feb 06 00:33:11 +0000 2016;carloszip1;RT @CleberAmaral_: As Forças Armadas foram autorizadas a usar bloqueadores de celular nas Olimpíadas #Rio2016. https://t.co/KHekLjv0TW http…;
Sat Feb 06 00:32:29 +0000 2016;ASemanaCV;Sofia Reis procura qualificação para o Rio2016 em Marrocos https://t.co/5dZzlgXdFO;
Sat Feb 06 00:32:17 +0000 2016;brenobarros;que bacana pelo conteúdo da série @EmbaixadaEUA #olímpicos #MeuEsporte #arco #USinRio #Rio2016;
Sat Feb 06 00:31:38 +0000 2016;SurtoOlimpico;Faltam 6 meses para o @Rio2016 e o Surto apresenta a sua nova capa. https://t.co/FpzdoNBRFQ;
Sat Feb 06 00:27:09 +0000 2016;AdaByronKing;RT @portalbrasil: ⚠✅ Jogos #Rio2016 serão realizados com total atenção à saúde, diz ministro do @minesporte. https://t.co/APEn32yhe7;
Sat Feb 06 00:26:23 +0000 2016;coimbramariap;RT @portalbrasil: ⚠✅ Jogos #Rio2016 serão realizados com total atenção à saúde, diz ministro do @minesporte. https://t.co/APEn32yhe7;
Sat Feb 06 00:22:21 +0000 2016;mara85kh;It's #Brazil, #bitch #carnaval #rio2016 @ Sambadrome Marquês de Sapucaí https://t.co/JjQ2JqoIs8;
Sat Feb 06 00:22:20 +0000 2016;selmappereira81;RT @CleberAmaral_: As Forças Armadas foram autorizadas a usar bloqueadores de celular nas Olimpíadas #Rio2016. https://t.co/KHekLjv0TW http…;
Sat Feb 06 00:21:57 +0000 2016;brasilayane;Matéria sobre @Rio2016 no @SporTV e o coração batendo forte.;
Sat Feb 06 00:17:40 +0000 2016;BelCarvalho5;RT @CleberAmaral_: As Forças Armadas foram autorizadas a usar bloqueadores de celular nas Olimpíadas #Rio2016. https://t.co/KHekLjv0TW http…;
Sat Feb 06 00:16:55 +0000 2016;sfreitasfarias2;RT @g1: FOTOS: primeira noite de desfiles da série A no Rio https://t.co/BYnj1eLhI6 #Globeleza #G1 https://t.co/NNunYSagUN;
