/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sat Feb 20 02:09:41 +0000 2016;Eduvaleu;@cpboficial @Rio2016 Natação feminina paralimpica e o mascote Tom! Eu quero! 🙌;
Sat Feb 20 01:40:12 +0000 2016;PowerUrubu;Quem dera os atletas, onde teremos #Rio2016 protestassem contra a indicação do FILHO de Sergio Cabral na Sec de Esp. https://t.co/7etK36em4U;
Sat Feb 20 01:38:53 +0000 2016;Ricardowdias;Não adianta querer abafar o APAGÃO d ENERGIA ELÉTRICA  na gestão FHC + 18% ICMS na Conta
 https://t.co/F5r4BzNhM0 via @UOLEsporte #Rio2016;
Sat Feb 20 01:37:23 +0000 2016;Ricardowdias;UOL APAGÃO é especialidade TUCANA vide SP APAGÃO de ÁGUA. Rio-2016 teve Queda de Energia. https://t.co/pFCUeW8o6G via @UOLEsporte #Rio2016;
Sat Feb 20 01:37:18 +0000 2016;elpaisdelfutbo1;RT @cpboficial: Tem moedas novas dos #JogosParalímpicos @Rio2016!! Olha que coisa mais linda! ❤️❤️ https://t.co/DcHO9kq6rK;
Sat Feb 20 01:35:37 +0000 2016;fernandosjc;Alguém aqui foi eleito voluntário para os @JogosOlimpicos @Rio2016  #help;
Sat Feb 20 01:15:40 +0000 2016;LeoCarvalhoNYC;Uma vitória contra Trinidade e Tobago hoje no @BBVACompassStdm coloca @ussoccer_wnt no @Rio2016 cc: @jucabral3 https://t.co/tDtouBJylH;
Sat Feb 20 01:15:35 +0000 2016;Gil_CRN449085;O que falamos essa semana sobre os Jogos Olímpicos e Paralímpicos? https://t.co/WuwxQAJbat;
Sat Feb 20 01:12:44 +0000 2016;LeoCarvalhoNYC;2 gols de @sincy12... Canadá vence Costa Rica 3x1 e se classifica pro @Rio2016 #FutebolFeminino cc: @jucabral3 https://t.co/6rUp3IIeC6;
Sat Feb 20 01:08:31 +0000 2016;Frankie_Opale;Bravo!#ChristineSinclair #Canada #Rio2016 #Olympics2016  https://t.co/rdKUJ07TT2;
Sat Feb 20 01:01:56 +0000 2016;Regys_Silva;RT @SurtoOlimpico: .@sebcoe diz que @iaaforg pode excluir o Atletismo do Quênia do @Rio2016 https://t.co/6PRKz160Gf https://t.co/qWvhqudpj2;
Sat Feb 20 00:59:49 +0000 2016;Seba_Pereira;RT @osolimpicos: Classificados na plataforma sincronizada Fem pro #Rio2016: CHN 🇨🇳, CAN🇨🇦, PRK🇰🇵, MAS🇲🇾, GBR🇬🇧, USA🇺🇸, MEX🇲🇽 e BRA🇧🇷;
Sat Feb 20 00:57:31 +0000 2016;zvitu;CHEGOU MINHA CARTA CONVITE MEU DEUS TE AMO @Rio2016;
Sat Feb 20 00:55:13 +0000 2016;robertinhoproc1;@GoogleforWork 
VOLTA FRUTARE C PALITO PREMIADO E APROVEITA VOLTA TAMBÉM TAZO EDIÇÃO ESPECIAL OLIMPIADAS RIO2016 https://t.co/f6Qn3OkGH2;
Sat Feb 20 00:53:39 +0000 2016;SurtoOlimpico;.@sebcoe diz que @iaaforg pode excluir o Atletismo do Quênia do @Rio2016 https://t.co/6PRKz160Gf https://t.co/qWvhqudpj2;
Sat Feb 20 00:53:30 +0000 2016;_11ms;RT @Ivangarciapollo: Que deus nos abençoe e nos proteja🙏🏻 #ousadia y #alegría #arenita😍😘 #CristoRedentor #Río2016 #TeamVisa @VisaMX 🇲🇽🇧🇷 ht…;
Sat Feb 20 00:49:16 +0000 2016;JoRyanSalazar;#USAvTRI #CWOQ2016 Odds: 
USA 1.01 
Extra Time/Pens 23
Trinidad &amp; Tobago 34 
https://t.co/mDHwllmX5k @thestoppagetime #RoadToRio #Rio2016;
Sat Feb 20 00:44:04 +0000 2016;SportcomQuebec;RT @CanadaSoccerFR: #CanWNT sera à #Rio2016 !! https://t.co/EYUcNPIEzM;
Sat Feb 20 00:43:20 +0000 2016;Xscarface1999X;RT @CanadaSoccerFR: #CanWNT sera à #Rio2016 !! https://t.co/EYUcNPIEzM;
Sat Feb 20 00:42:07 +0000 2016;mauriciop_;dilma recomenda roupas compridas a atletas na rio2016. ela só esqueceu que no RJ faz 50°. Como explicar dona Dilma? Quem aguenta o calor?;
Sat Feb 20 00:41:53 +0000 2016;AbnerFaustino;Para o @portalr7, o motivo pra gente torcer para que a Seleção feminina dos EUA venha para o Rio2016, é por causa da beleza das atletas.;
Sat Feb 20 00:36:47 +0000 2016;RacineSim;RT @CanadaSoccerFR: #CanWNT sera à #Rio2016 !! https://t.co/EYUcNPIEzM;
Sat Feb 20 00:36:18 +0000 2016;mireille91;RT @CanadaSoccerFR: #CanWNT sera à #Rio2016 !! https://t.co/EYUcNPIEzM;
Sat Feb 20 00:33:46 +0000 2016;alem_do_futebol;RT @osolimpicos: Classificados pro #Rio2016 no trampolim sincro masc: CHN, RUS, GBR, GER, MEX, ITA, USA e BRA;
Sat Feb 20 00:33:27 +0000 2016;Chlojuil;RT @CanadaSoccerFR: #CanWNT sera à #Rio2016 !! https://t.co/EYUcNPIEzM;
Sat Feb 20 00:33:22 +0000 2016;alem_do_futebol;RT @osolimpicos: Classificados na plataforma sincronizada Fem pro #Rio2016: CHN 🇨🇳, CAN🇨🇦, PRK🇰🇵, MAS🇲🇾, GBR🇬🇧, USA🇺🇸, MEX🇲🇽 e BRA🇧🇷;
Sat Feb 20 00:31:48 +0000 2016;ManiMarc;Here I goooo!!!! Carta convite para as olimpíadas recebida e ACEITA!!!! @Rio2016;
Sat Feb 20 00:27:05 +0000 2016;riotgirlott;RT @CanadaSoccerFR: #CanWNT sera à #Rio2016 !! https://t.co/EYUcNPIEzM;
Sat Feb 20 00:26:45 +0000 2016;CanadaSoccerFR;#CanWNT sera à #Rio2016 !! https://t.co/EYUcNPIEzM;
Sat Feb 20 00:26:14 +0000 2016;pedromigao;RT @SurtoOlimpico: Fim de jogo!! o Canadá bate a Costa Rica por 3-1 e garante vaga no Futebol Feminino do @Rio2016.;
Sat Feb 20 00:25:58 +0000 2016;SurtoOlimpico;Fim de jogo!! o Canadá bate a Costa Rica por 3-1 e garante vaga no Futebol Feminino do @Rio2016.;
Sat Feb 20 00:20:51 +0000 2016;jffgama;e a cada medalha ganha por atletas mulheres, vão chover matérias e reportagens "glorificando-as", como se fossem deusas...   
#Rio2016;
Sat Feb 20 00:19:17 +0000 2016;jffgama;aposto que a imprensa feminazi desse país de merda vai secar os atletas homens para não ganharem medalha nenhuma
#Rio2016;
Sat Feb 20 00:17:46 +0000 2016;jffgama;eu não tenho dúvidas de que as olimpíadas desse ano serão as olimpíadas do feminismo 
#Rio2016;
Sat Feb 20 00:16:59 +0000 2016;IVALDOMORAES;RT @luizatrajano: Vocês já viram o vídeo mais recente que mostra como está ficando o Parque Olímpico da Barra? Muito legal! #Rio2016 https:…;
Sat Feb 20 00:11:20 +0000 2016;VictorTovar91;RT @webnotitarde: Preolímpico de Tenis de Mesa ofrecerá 11 cupos a #Río2016 https://t.co/rj94JMb8Yx #Deportes #JuegosOlímpicos https://t.co…;
Sat Feb 20 00:10:45 +0000 2016;webnotitarde;Preolímpico de Tenis de Mesa ofrecerá 11 cupos a #Río2016 https://t.co/rj94JMb8Yx #Deportes #JuegosOlímpicos https://t.co/m5HkE4xJ8H;
Fri Feb 19 23:57:27 +0000 2016;lucquito;comi 32 docinhos. #rio2016;
Fri Feb 19 23:55:15 +0000 2016;AkayaBrasil;#ÁguaLimpa e #PraiaLinda para as pessoas e para a #economia, não apenas para o #Rio2016. A hora é agora! https://t.co/TAYxdFASc3;
Fri Feb 19 23:52:54 +0000 2016;AoDiaBrasil;#Brasil #Rio2016 Varejão mostra amor por Cleveland após saída: "Lar é onde o coração está"  #Br   https://t.co/3MnrDfn38x;
Fri Feb 19 23:52:54 +0000 2016;iDisplaySports;#Brasil #Rio2016 Varejão mostra amor por Cleveland após saída: "Lar é onde o coração está"  #Br   https://t.co/swNKYnvkK5;
Fri Feb 19 23:52:54 +0000 2016;AoDiaBrasil;#Brasil #Rio2016 Rio-2016 tem evento-teste sob chuva e com apagão  #Br   https://t.co/3MnrDfn38x;
Fri Feb 19 23:52:54 +0000 2016;iDisplaySports;#Brasil #Rio2016 Rio-2016 tem evento-teste sob chuva e com apagão  #Br   https://t.co/swNKYnvkK5;
Fri Feb 19 23:46:50 +0000 2016;AlexFerreiraRio;@lightclientes Um absurdo essa CIA. Tomás Coelho dois dias sem energia. @Rio2016 nada funciona pro carioca!;
Fri Feb 19 23:43:24 +0000 2016;GilsonRGrimes;Sergio Cabral é 171 mesmo, está devendo até o tenista #Djokovic #Rio2016 #RioOpen2016 #RioOpen @g1 @g1rio @BomDiaBrasil #bomdiario;
Fri Feb 19 23:43:22 +0000 2016;AgeuSantos_;#JornalDaRecord vai dizer que #Dilma @dilmabr pediu os #pernilongos para da um tempo ao #Rio #Olimpia #Rio2016 depois #Zica vão voltar kkkk;
Fri Feb 19 23:40:53 +0000 2016;osolimpicos;Classificados pro #Rio2016 no trampolim sincro masc: CHN, RUS, GBR, GER, MEX, ITA, USA e BRA;
Fri Feb 19 23:39:19 +0000 2016;dudumagnani;RT @osolimpicos: Classificados pro #Rio2016 no trampolim sincro masc: GER, MEX, ITA e USA;
Fri Feb 19 23:38:59 +0000 2016;osolimpicos;Classificados pro #Rio2016 no trampolim sincro masc: GER, MEX, ITA e USA;
Fri Feb 19 23:38:47 +0000 2016;vandaloyeah;Lapa ta foda. #scouting #lapa #productionservice #productionserviceriodejaneiro #rio2016… https://t.co/KItkpIhSXn;
Fri Feb 19 23:25:02 +0000 2016;Eduardo66088245;RT @Rio2016: Quer diversão e PRÊMIOS? #MeuRio2016 para Android: https://t.co/slwmqDbmF0 e iOS: https://t.co/7u55hNVki3 https://t.co/UZHuNMo…;
Fri Feb 19 23:00:03 +0000 2016;rcview;Belíssimo por do sol! Vamos fechar mais um filme!
#rcview #letsfilm #audiovisual #fotografia #fs7 #Brazil #rio2016 https://t.co/L9NbNht85A;
Fri Feb 19 22:57:30 +0000 2016;FelipeMelo75;Eduardo Paes: Crise dificulta venda de apartamentos feitos para Olimpíada https://t.co/rHKzizAL0S via @UOLEsporte #Rio2016;
Fri Feb 19 22:54:03 +0000 2016;JrWandeir;Eu tenho #Rio2016 https://t.co/pZv00uaoRQ;
Fri Feb 19 22:52:33 +0000 2016;juliaewald;RT @cpboficial: Tem moedas novas dos #JogosParalímpicos @Rio2016!! Olha que coisa mais linda! ❤️❤️ https://t.co/DcHO9kq6rK;
Fri Feb 19 22:42:41 +0000 2016;SettSama;RT @cpboficial: Tem moedas novas dos #JogosParalímpicos @Rio2016!! Olha que coisa mais linda! ❤️❤️ https://t.co/DcHO9kq6rK;
Fri Feb 19 22:39:48 +0000 2016;ronaldochreem;@cpboficial @Brasil2016 @Rio2016 
Pena que não vale porra nenhuma  !;
Fri Feb 19 22:34:17 +0000 2016;Rayoneide;RT @cpboficial: Tem moedas novas dos #JogosParalímpicos @Rio2016!! Olha que coisa mais linda! ❤️❤️ https://t.co/DcHO9kq6rK;
Fri Feb 19 22:31:41 +0000 2016;Axel096;RT @MigueOR: Pão de Azùcar #cidademaravilhosa #Rio2016 https://t.co/oenxcT78cX;
