/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Sun Jan 31 23:35:39 +0000 2016| user = PGCP_Rio2016| text = É a nova temporada do #PanicoNaBand 2016!
date = Sun Jan 31 23:30:46 +0000 2016| user = Eric_Albani| text = RT @JogosOlimpicos: Faltam 200 dias para os Jogos @Rio2016 ! #roadtorio 🎉📣 https://t.co/e72GjOVrUL
date = Sun Jan 31 23:28:56 +0000 2016| user = Seba_Pereira| text = RT @AqueceRio: Aline Silva é um dos destaques do #eventoteste de #LutaOlímpica hoje! Conheça sua história: https://t.co/N6771aPidM https://…
date = Sun Jan 31 23:24:09 +0000 2016| user = Seba_Pereira| text = RT @alem_do_futebol: Handebol Masculino, Campeonato Europeu na Polônia, decisão do título e da vaga pra @Rio2016, Alemanha 24x17 Espanha #e…
date = Sun Jan 31 23:17:52 +0000 2016| user = tuerca11| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 23:17:26 +0000 2016| user = _peeeerks| text = Os parça vão comprar os ingressos das olimpíadas, só veeeeem RIO2016
date = Sun Jan 31 23:00:14 +0000 2016| user = bloghandicap| text = RT @Rio2016: Pra já começar o carnaval marcando aquela cesta: essa fantasia! 🏀 🏀 https://t.co/3r69b5pfPH
date = Sun Jan 31 22:56:27 +0000 2016| user = MarcellaBeorleg| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 22:54:47 +0000 2016| user = vanio_jr| text = agora entendi o pq do gato! https://t.co/NsNOIB1bJ1 Welcome #Rio2016
date = Sun Jan 31 22:54:31 +0000 2016| user = tdsrio| text = atualizaram o mascote das olimpíadas hahaha #Rio2016 https://t.co/OC7MaPH2Ho
date = Sun Jan 31 22:52:06 +0000 2016| user = Cafecomjoe| text = @WofVOLLEY @Rio2016 @FIVBVolleyball @CEVolleyball Ari Graça vendeu o volei brasileiro anos atrás à Globo. Olha o q fez agora @BrunoVoloch
date = Sun Jan 31 22:51:13 +0000 2016| user = Cafecomjoe| text = @WofVOLLEY @Rio2016 @FIVBVolleyball @CEVolleyball Ari Graça vendeu o volei brasileiro anos atrás à Globo. Olha o q fez agora @MelhordoVolei
date = Sun Jan 31 22:45:32 +0000 2016| user = praia_carol| text = Que calor é esse gente ?? To me sentindo um Frango de Padaria 😂😂😂. #Rio2016  @rio40graus
date = Sun Jan 31 22:39:15 +0000 2016| user = ErnaniMB| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 22:35:14 +0000 2016| user = rozoycharles| text = RT @Rio2016: Pra já começar o carnaval marcando aquela cesta: essa fantasia! 🏀 🏀 https://t.co/3r69b5pfPH
date = Sun Jan 31 22:19:20 +0000 2016| user = DaniBarnabe| text = Venha experimentar o app: https://t.co/OCQEdkufoy
date = Sun Jan 31 22:11:58 +0000 2016| user = merlim| text = RT @ptbrasiI: RT Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (pretagil) no #Blocoda… https://t…
date = Sun Jan 31 22:05:11 +0000 2016| user = Rio2016| text = Pra já começar o carnaval marcando aquela cesta: essa fantasia! 🏀 🏀 https://t.co/3r69b5pfPH
date = Sun Jan 31 21:57:18 +0000 2016| user = Cassunungarosa| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
