/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun Mar 27 02:59:49 +0000 2016;viniquihto;Ousada, espero q fique muito booooom! 
#natorcida https://t.co/H6r8H82yiR;
Sun Mar 27 01:12:38 +0000 2016;AnittaTrends;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 01:08:55 +0000 2016;cadeiravoadora;RT @RSPARADESPORTO: 🏃 🏃 🏃 #JogosParalímpicos: não dá pra explicar, #TemQueIr 🏃🏃🏃 https://t.co/lU7q7aHDMs;
Sun Mar 27 00:58:33 +0000 2016;3747c10052ca46f;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:55:37 +0000 2016;larissadesa321;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:55:09 +0000 2016;FCZenBahia;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:41:15 +0000 2016;DiamondAnitt4;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:35:50 +0000 2016;Rafah_Thirenato;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:35:28 +0000 2016;Vitoria2815;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:28:15 +0000 2016;FluNewsoficial;CAMPANHA #FinalMaracanã #Rio2016 #LiberaAFesta

Só há duas opções nesta vida: se resignar ou se indignar.
E eu... https://t.co/IQqmwjoR0T;
Sun Mar 27 00:27:29 +0000 2016;EmpireAnitta;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:26:35 +0000 2016;Kelly_H18;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:25:58 +0000 2016;anitterfuck;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:17:55 +0000 2016;reasoncabeyo;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:16:41 +0000 2016;NicoliPsouza;@Rio2016 @exercitoodaani @Anitta que tudo !;
Sun Mar 27 00:13:13 +0000 2016;AnittaNYC;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:13:08 +0000 2016;heitorbotan;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:11:13 +0000 2016;alexanderSplit;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:09:25 +0000 2016;lainy_santana;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:08:44 +0000 2016;ivancfalcon;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:08:20 +0000 2016;planeta_anitta;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:07:59 +0000 2016;thiip_;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:06:01 +0000 2016;lucteiro;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:05:26 +0000 2016;anittaftsophia;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:04:26 +0000 2016;loucademacedo;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 00:04:09 +0000 2016;Roantiqueira;Diego Hypolito é bronze na Copa do Mundo de ginástica; Thauany leva prata https://t.co/7awWlb2u7e via @UOLEsporte #Rio2016;
Sun Mar 27 00:03:01 +0000 2016;Roantiqueira;Atacante dos EUA é eleita a atleta mais sexy do mundo pela Victoria Secret https://t.co/H5LtR9w6wE via @UOLEsporte #Rio2016;
Sun Mar 27 00:01:27 +0000 2016;cesarjunnyor;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:58:31 +0000 2016;anittalinda14;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:56:18 +0000 2016;AnittaLoving;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:56:10 +0000 2016;kimba_sa;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:54:02 +0000 2016;rodrigomadeira;Razô https://t.co/dr920Y0Ojs;
Sat Mar 26 23:51:41 +0000 2016;AnittersSempre1;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:47:21 +0000 2016;leticiadantas5h;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:46:56 +0000 2016;PrisAnitta;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:46:14 +0000 2016;Eveton852;@Rio2016 @Anitta maneiro;
Sat Mar 26 23:46:11 +0000 2016;tuynitter;@Rio2016 @Anitta adoro ♡;
Sat Mar 26 23:46:08 +0000 2016;AlessandraDreww;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:45:35 +0000 2016;Doenteporanitta;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:45:34 +0000 2016;howlu;LIIINDAS https://t.co/0n1A6wQdyv;
Sat Mar 26 23:44:57 +0000 2016;tuynitter;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:43:46 +0000 2016;DivaAnittaPoder;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:43:14 +0000 2016;EuJulianaGomes;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:43:07 +0000 2016;eulariiianitter;@Rio2016 @Anitta 
Um motivo pra eu ficar feliz com as olimpíadas 😂😍😍👏👏👏👌;
Sat Mar 26 23:42:08 +0000 2016;eulariiianitter;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:41:15 +0000 2016;012Macedo;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
