/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Mar 25 23:56:27 +0000 2016;SIGLIAABRAHAO;RT @Rio2016: Aproveita o tempo livre no feriadão para mostrar sua arte no nosso app! Ela pode virar #NossosSelosRio2016 https://t.co/QOzlTO…;
Fri Mar 25 23:53:04 +0000 2016;jaspassos;RT @cpboficial: Bom dia, feriado! 🙌🏼🙌🏼 Faltam 166 dias para os #JogosParalímpicos @Rio2016 😌;
Fri Mar 25 23:50:13 +0000 2016;YrlanGuedess;@CarolSexxxy é... de acordo com o https://t.co/vNLZAi7O6X só depois do dia 21 de agosto. Acho que não teria tamanha paciência;
Fri Mar 25 23:47:53 +0000 2016;GuilhermeJrg;RT @Cecillia: #Prioridades 1) Quarto Casa de Saúde para idosos Nossa Senhora das Graças  2) Quarto da Vila dos Atletas #Rio2016 https://t.c…;
Fri Mar 25 23:43:14 +0000 2016;enferika;RT @Cecillia: #Prioridades 1) Quarto Casa de Saúde para idosos Nossa Senhora das Graças  2) Quarto da Vila dos Atletas #Rio2016 https://t.c…;
Fri Mar 25 23:42:53 +0000 2016;JorgePmUerj;RT @Cecillia: #Prioridades 1) Quarto Casa de Saúde para idosos Nossa Senhora das Graças  2) Quarto da Vila dos Atletas #Rio2016 https://t.c…;
Fri Mar 25 23:42:28 +0000 2016;winchester118;RT @RodrigoHilbert: Canoagem, ciclismo, triatlo, vela: os #JogosParalímpicos da @rio2016 serão incríveis! E a cerimônia dos Jogos... http:/…;
Fri Mar 25 23:38:11 +0000 2016;WilliamSapucaia;RT @SeeljeRJ: O Transforma oferece capacitação p/  professores de ed. física que desejam aprender sobre esportes pouco difundidos. https://…;
Fri Mar 25 23:37:07 +0000 2016;WilliamSapucaia;RT @Rio2016: Seu desenho pode virar selo! Saiba tudo sobre o desafio #NossosSelosRio2016 no nosso app! https://t.co/Ae64gh9mU6 https://t.co…;
Fri Mar 25 23:37:03 +0000 2016;WilliamSapucaia;RT @Rio2016: Que tal ter o seu desenho nos #NossosSelosRio2016? Baixe o app e participe! https://t.co/LT8KH2WHn0 https://t.co/LyBTcyBQ84;
Fri Mar 25 23:36:55 +0000 2016;WilliamSapucaia;RT @SeeljeRJ: E as inscrições para o projeto de capacitação esportiva Transforma vão até o próximo dia 29! Corre lá: https://t.co/HMXmqEjyTS;
Fri Mar 25 23:24:35 +0000 2016;claubata;RT @TodoDeporteAR: Ginóbili estará en #Rio2016 https://t.co/QiU6a6Kvuf https://t.co/hiVYWJEOMw;
Fri Mar 25 23:11:29 +0000 2016;clavenoticias;RT @TodoDeporteAR: Ginóbili estará en #Rio2016 https://t.co/QiU6a6Kvuf https://t.co/hiVYWJEOMw;
Fri Mar 25 23:10:20 +0000 2016;futebolatino;Ficou pra ser decidido nos Estados Unidos! 

#repescagem #FutebolLatino #Olimpíadas #Rio2016 #Futebol https://t.co/8W68G7DrZw;
Fri Mar 25 23:07:48 +0000 2016;Sergio_L07;#Preolimpico #Rio2016 #Colombia 1 - 1 #EstadosUnidos #COL - Quintero. #USA - Gil.;
Fri Mar 25 23:00:13 +0000 2016;fecomerciorj;Em ano de @Rio2016, você também pode se tornar um campeão pelo nosso projeto #MedalhadeOuroSenac https://t.co/8wlt6JF78z;
Fri Mar 25 22:59:44 +0000 2016;SurtoOlimpico;Na partida de ida válida pelo playoff do futebol masculino pela última vaga do @Rio2016, Colombia e EUA ficaram no 1-1;
Fri Mar 25 22:47:52 +0000 2016;UizFeinando;@TomRio2016 @Rio2016 @cpboficial @Paralympic por nada para meu mascote favorito amigo;
Fri Mar 25 22:44:34 +0000 2016;MDflojera;Festejamos que @manuginobili va a @Rio2016!! #GrandeManu;
Fri Mar 25 22:35:37 +0000 2016;BLifeMedia;#Rio2016 Gooooool Juan Fernando Quintero!!!!! Equalizer!!! #Colombia 1-1 #USA;
Fri Mar 25 22:30:26 +0000 2016;panchoZala;RT @TodoDeporteAR: Ginóbili estará en #Rio2016 https://t.co/QiU6a6Kvuf https://t.co/hiVYWJEOMw;
Fri Mar 25 22:27:01 +0000 2016;TodoDeporteAR;Ginóbili estará en #Rio2016 https://t.co/QiU6a6Kvuf https://t.co/hiVYWJEOMw;
Fri Mar 25 22:26:19 +0000 2016;BrennoRJ;A #CidadeOlimpica tem um zoológico agonizando, pedindo por socorro. Detalhe, os animais não falam #RJTV #Rio2016 #RioZoo;
Fri Mar 25 22:23:46 +0000 2016;ROBERTA60772874;RT @Brasil2016: #Rio2016 Atletas vivem a expectativa de conduzir a tocha em várias partes do Brasil. https://t.co/nviDYrTyej https://t.co/m…;
Fri Mar 25 22:21:53 +0000 2016;canalnettv811;Maris Strombergs na classificatoria da Copa do Mundo de Supercross em Sa... https://t.co/c8kLtgtySY via @YouTube #MARISSTROMBERGS #RIO2016;
Fri Mar 25 22:18:05 +0000 2016;Brasil2016;#Rio2016 Atletas vivem a expectativa de conduzir a tocha em várias partes do Brasil. https://t.co/nviDYrTyej https://t.co/mMALXjfXmk;
Fri Mar 25 22:08:15 +0000 2016;HenriqueCereja;Triste notícia. https://t.co/zzu9IIeZ7q;
Fri Mar 25 21:59:07 +0000 2016;Riha_17;Vamos Pelaos ! #VamosMiSeleccion 💛💜♥ #Repechaje #Rio2016;
Fri Mar 25 21:51:08 +0000 2016;Rosagath;RT @ACNURBrasil: Conheça Yusra, refugiada síria que está de olho nas #olimpíadas do Rio! Saiba mais https://t.co/B8u3m6gtgz #Rio2016 https:…;
Fri Mar 25 21:44:12 +0000 2016;tvmarajoarac50;RT @radiobandnewsfm: Craque do New Orleans Pelicans, time da @NBA, Anthony Davis, passou por cirurgia no joelho esquerdo e deve ficar fora …;
Fri Mar 25 21:44:07 +0000 2016;saogoncalo_RJ;RT @Rio2016: 5 dicas de atletas para manter a forma no feriado! 💪 https://t.co/9v9XCEy1hP https://t.co/yAraRsi7Nk;
Fri Mar 25 21:40:30 +0000 2016;jrinconlozano;Preambulo de #BatmanvsSuperman #ColombiaVsEEUU #Rio2016 https://t.co/76jr0AjP77;
Fri Mar 25 21:39:25 +0000 2016;ForaPTJa;@folha @UOL que história macabra, onde estava o ACTERJ #RJ #Vassouras ABSURDO!! Loucura!! #Pezão @RomarioOnze #Rio2016;
Fri Mar 25 21:34:20 +0000 2016;RodrigoRocatto;RT @Rio2016: Tudo ou nada: #EUA e #Colômbia disputam a última vaga no #futebol para o #Rio2016! https://t.co/paYvEz6aVG https://t.co/iuFDlg…;
Fri Mar 25 21:34:13 +0000 2016;BIABETH;RT @Brasil2016: São iniciadas apresentações do plano operacional de saúde durante os Jogos #Rio2016 #SomosTodosBrasil https://t.co/1hXXs2Vn…;
Fri Mar 25 21:30:05 +0000 2016;GilsonRGrimes;#LulaLixoMundial e aí Presidente Dilma @dilmabr e ex-presidente Lula @LulapeloBrasil @inst_lula Terão coragem de ir às Olimpíadas #Rio2016?;
Fri Mar 25 21:16:45 +0000 2016;Jac_o_mine;RT @Rio2016: #Futebol perde @JohanCruyff, astro do futebol holandês, aos 68 anos 😢😢 https://t.co/UfYnD1D0IA https://t.co/QyB0jOfsFF;
