/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sat Mar 05 03:09:40 +0000 2016;claudiabambini;Fofas as medalhas do #Rio2016  né?!😏😏😏 https://t.co/Kq3eezjbt6;
Sat Mar 05 02:55:16 +0000 2016;dressa_00_;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Sat Mar 05 02:25:20 +0000 2016;TheEdilsonLima;Pelo o que eu vi Natalia, Gabi, Carol e Juciely tão bem. Thaisa, Adenizia, Dani Lins e Brait ainda estão irregulares. Rio2016 ta ai ne....;
Sat Mar 05 02:23:00 +0000 2016;Seba_Pereira;RT @SurtoOlimpico: Brasil classifica três atletas da Luta feminina para o @Rio2016 https://t.co/ocARNpbAJp https://t.co/FfrAg6KUk0;
Sat Mar 05 02:17:42 +0000 2016;Seba_Pereira;RT @SurtoOlimpico: O COI aprova novo orçamento do @Rio2016 https://t.co/A6rzrasDjY https://t.co/ZtLtvYk1KL;
Sat Mar 05 02:13:43 +0000 2016;DumkeNoticias;Comitê Olímpico dos EUA cria grupo de doenças infecciosas para Rio-2016 https://t.co/5KHN7rmPjM;
Sat Mar 05 02:13:15 +0000 2016;gatodagota;Dani doente, ainda bota bola P suelle.... Como dani tá lixo kkkkk, q no rio2016 ela não esteja assim;
Sat Mar 05 02:05:34 +0000 2016;oquesenhor;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Sat Mar 05 02:02:28 +0000 2016;ale_martins;RT @SurtoOlimpico: Brasil classifica três atletas da Luta feminina para o @Rio2016 https://t.co/ocARNpbAJp https://t.co/FfrAg6KUk0;
Sat Mar 05 02:02:01 +0000 2016;Regys_Silva;RT @SurtoOlimpico: O COI aprova novo orçamento do @Rio2016 https://t.co/A6rzrasDjY https://t.co/ZtLtvYk1KL;
Sat Mar 05 02:01:30 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Brasil classifica três atletas da Luta feminina para o @Rio2016 https://t.co/ocARNpbAJp https://t.co/FfrAg6KUk0;
Sat Mar 05 01:58:02 +0000 2016;SurtoOlimpico;O COI aprova novo orçamento do @Rio2016 https://t.co/A6rzrasDjY https://t.co/ZtLtvYk1KL;
Sat Mar 05 01:54:39 +0000 2016;cjrsouza;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Sat Mar 05 01:53:25 +0000 2016;Vitor_92_Manoel;RT @SurtoOlimpico: Brasil classifica três atletas da Luta feminina para o @Rio2016 https://t.co/ocARNpbAJp https://t.co/FfrAg6KUk0;
Sat Mar 05 01:51:49 +0000 2016;SurtoOlimpico;Brasil classifica três atletas da Luta feminina para o @Rio2016 https://t.co/ocARNpbAJp https://t.co/FfrAg6KUk0;
Sat Mar 05 01:36:29 +0000 2016;brenobarros;RT @pfavero1: Seleções terão de se adaptar às novas regras do handebol nos Jogos @Rio2016. O jogador @DiogoHubner explica @CBHb1  https://t…;
Sat Mar 05 01:33:41 +0000 2016;RicardoLeyser;RT @pfavero1: Seleções terão de se adaptar às novas regras do handebol nos Jogos @Rio2016. O jogador @DiogoHubner explica @CBHb1  https://t…;
Sat Mar 05 01:33:18 +0000 2016;DiogoHubner;RT @pfavero1: Seleções terão de se adaptar às novas regras do handebol nos Jogos @Rio2016. O jogador @DiogoHubner explica @CBHb1  https://t…;
Sat Mar 05 01:22:24 +0000 2016;fgianesi;A @natizilio está jogando uma bola sensacional! Que temporada está fazendo... Tem que ser titular no @Rio2016, sem dúvida alguma!;
Sat Mar 05 01:22:02 +0000 2016;serbretas;Futebol feminino chinês bate o Japão por 2-1 e fica + próximo da #Rio2016  https://t.co/HNTMnSGq8E;
Sat Mar 05 00:43:46 +0000 2016;figchrisall;RT @dilmabr: Parabéns, Rio de Janeiro! Hoje é aniversário da cidade maravilhosa, que acolherá os Jogos Olímpicos e Paralímpicos de 2016. #R…;
Sat Mar 05 00:43:41 +0000 2016;TranspRJ;Sobre o transporte público no #Rio2016.
#TransporteRJ por @Prefeitura_Rio
https://t.co/IKWX7jmKqr via @seacidadefosse;
Sat Mar 05 00:40:33 +0000 2016;Mraya;Eduardo Paes , prefeito do Rio , disputa bola com jogador de rúgbi. #Rio2016 

(Tão boa q é melhor nem comentar) https://t.co/w5Px7jEmgl;
Sat Mar 05 00:33:37 +0000 2016;I_RespectNeymar;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Sat Mar 05 00:31:02 +0000 2016;Jaaideer;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Sat Mar 05 00:24:57 +0000 2016;ManoChandraDhas;Imagens de atletas brasileiros dos Jogos Olímpicos @UOLEsporte #Rio2016 https://t.co/oikXMqT5AJ https://t.co/PUBTlGB8bz;
Sat Mar 05 00:14:10 +0000 2016;karemachach;RT @rio2016_es: @ClaroSports @NuriaDiosdado @karemachach @Rio2016 
Fuimos testigos! 😃👏👏 https://t.co/iZR02XmVJo;
Sat Mar 05 00:13:47 +0000 2016;wtffde;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Sat Mar 05 00:09:39 +0000 2016;GabrielMasello;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 23:51:35 +0000 2016;geli_alcocer;RT @jmlpyt: Imagens de atletas brasileiros dos Jogos Olímpicos @UOLEsporte #Rio2016 https://t.co/Y7kCQQS37V https://t.co/rp2gm1cBym;
Fri Mar 04 23:35:04 +0000 2016;reginaldooliv11;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 23:31:17 +0000 2016;marcosSFC17;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 23:30:54 +0000 2016;FUTEBOLARTESFC;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 23:21:36 +0000 2016;fckleeh_;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 23:20:55 +0000 2016;Helber15397791;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 23:18:43 +0000 2016;pfavero1;Mais um evento-teste nos Jogos @Rio2016 sem presença de público. Seria um bom momento de ver as Tupis @brasilrugby  https://t.co/szhCybHMp1;
Fri Mar 04 23:07:58 +0000 2016;swntosfc;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 23:05:14 +0000 2016;ayukasoccer;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 22:55:05 +0000 2016;iranhudson;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 22:51:39 +0000 2016;TorcidaBrasil2;#SeleçãoFeminina vence a segunda na #CopaAlgarve, em Portugal https://t.co/EAHVTjl4F0 #Rio2016 #Futebol https://t.co/kNvNnY4yB6;
Fri Mar 04 22:43:48 +0000 2016;Eric_Albani;RT @Rio2016: Pra ficar por dentro da classificação do #badminton, é só clicar aqui: https://t.co/CBYYKhilYw https://t.co/eybzTvtq0G;
Fri Mar 04 22:38:36 +0000 2016;danielle_dsilva;Serena mira ouro olímpico, mas revela receio com zika e vinda ao país https://t.co/O4tTtI85uO via @UOLEsporte #Rio2016;
Fri Mar 04 22:37:45 +0000 2016;Matheussfc_1912;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 22:34:05 +0000 2016;mauriliog7;RT @avozdobrasil: Rio de Janeiro recebe evento-teste de #NadoSincronizado https://t.co/e9DgtzItVH #SomosTodosBrasil #Rio2016;
Fri Mar 04 22:28:41 +0000 2016;ImoveisFarid;COB lança música para torcida apoiar atletas nos Jogos Olímpicos do Rio via @UOLEsporte #Rio2016   https://t.co/S7AKFDDY2V;
Fri Mar 04 22:23:57 +0000 2016;josesolonh;RT @avozdobrasil: Rio de Janeiro recebe evento-teste de #NadoSincronizado https://t.co/e9DgtzItVH #SomosTodosBrasil #Rio2016;
Fri Mar 04 22:23:12 +0000 2016;tadeu_alves;RT @avozdobrasil: Rio de Janeiro recebe evento-teste de #NadoSincronizado https://t.co/e9DgtzItVH #SomosTodosBrasil #Rio2016;
Fri Mar 04 22:23:07 +0000 2016;karolinwtavares;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 22:21:55 +0000 2016;rumourscanadian;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 22:17:19 +0000 2016;hamiltonribeiro;RT @avozdobrasil: Rio de Janeiro recebe evento-teste de #NadoSincronizado https://t.co/e9DgtzItVH #SomosTodosBrasil #Rio2016;
Fri Mar 04 22:16:00 +0000 2016;avozdobrasil;Rio de Janeiro recebe evento-teste de #NadoSincronizado https://t.co/e9DgtzItVH #SomosTodosBrasil #Rio2016;
Fri Mar 04 22:14:57 +0000 2016;silvafalexandre;Aumentando a quilometragem nos tubos da praia brava. 󾀸 

#EntreSalinaseMar #Rio2016 #Brazilianboogie #BeachandSun... https://t.co/5WqW1XqcOz;
Fri Mar 04 22:02:06 +0000 2016;rute_leo;Sonhar com 4 no Rio'2016 https://t.co/ztSo04Y4nd;
Fri Mar 04 22:01:58 +0000 2016;rcview;Boa noite e um ótimo final de semana! #rcview #letsfilm #Rio2016 #CidadeOlimpica #job #audiovisual #fotografia https://t.co/6WRbopWYHQ;
Fri Mar 04 21:59:08 +0000 2016;lekotjs;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 21:57:40 +0000 2016;oicatatau;RT @AqueceRio: O #EventoTeste de #NadoSincronizado começou hoje e... vai ser aberto ao público! 💦👯 https://t.co/NF9sXw7cXK https://t.co/QFY…;
Fri Mar 04 21:56:42 +0000 2016;lwurah;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 21:56:42 +0000 2016;SantosFC_SFC;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 21:46:54 +0000 2016;CienciaDoVinho;Rio 2016 inspira linha de vinhos com 'alma' Olímpica - Rio 2016 https://t.co/CXJMGbYBia;
Fri Mar 04 21:46:44 +0000 2016;catiartakahashi;Tocha Olímpica Rio 2016: CHAMA QUEM FAZ! https://t.co/PZYbAJWxtT;
Fri Mar 04 21:42:27 +0000 2016;_mateus2014;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 21:41:01 +0000 2016;CataPlaDi;RT @ViniciusRio2016: O @rio2016 vai rolar na #CidadeMaravilhosa e é em Copa que vamos ver o #VôleiDePraia, cheio de grandes atletas! 😎 http…;
Fri Mar 04 21:35:23 +0000 2016;luizatrajano;E olha que legal! A #Rio2016 abriu inscrições para artistas que queiram atuar com entretenimento durante os Jogos! https://t.co/EjPI3xx4xZ;
Fri Mar 04 21:35:03 +0000 2016;corpo_delama;@AgoranoDribla vexames à vista : seleção olímpica da #cbfVERGONHA e #Rio2016;
Fri Mar 04 21:28:14 +0000 2016;saahsantana_;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 21:26:21 +0000 2016;__JoaoVitor;RT @lancenet: Brasil classifica mais três atletas para a Rio-2016 na luta olímpica - https://t.co/vs8xKwpRa4;
Fri Mar 04 21:25:57 +0000 2016;jaocanas;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 21:24:39 +0000 2016;AlineVargas_TJS;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 21:22:55 +0000 2016;lancenet;Brasil classifica mais três atletas para a Rio-2016 na luta olímpica - https://t.co/vs8xKwpRa4;
Fri Mar 04 21:21:33 +0000 2016;standcp;Prazo p/ agricultores se inscreverem em projeto durantes as Olimpíadas Rio2016 foi prorrogado até 09/03. #RadarStand https://t.co/3O0AzEfmsb;
Fri Mar 04 21:13:27 +0000 2016;Brasil2016;Trigêmeas austríacas do nado sincronizado superam trauma e comemoram vaga no #Rio2016. https://t.co/GiAcfpvLUA https://t.co/dkzPDo8BT5;
Fri Mar 04 21:13:17 +0000 2016;alem_do_futebol;@calb995 @viniciuspvaz @Rio2016 Ah sim. A minha 'pouca esperança' é na luta livre. Na GR, aposto em 2 vagas (Eduard e Diego);
Fri Mar 04 21:10:30 +0000 2016;paladares_mundo;Rio 2016 inspira linha de vinhos com 'alma' Olímpica e vocação local para festejar https://t.co/fd0bqe6Ain;
Fri Mar 04 20:58:34 +0000 2016;pr91_;@basquetebrasil @CBB_basquete @Rio2016 sem saber os classificados do pré-olímpico mundial ?;
Fri Mar 04 20:57:20 +0000 2016;mehbp;RT @dilmabr: Parabéns, Rio de Janeiro! Hoje é aniversário da cidade maravilhosa, que acolherá os Jogos Olímpicos e Paralímpicos de 2016. #R…;
Fri Mar 04 20:49:23 +0000 2016;avozdobrasil;Prêmio Arte Monumento Brasil 2016 contemplará 70 projetos de obras de artes visuais que celebram Jogos #Rio2016 https://t.co/u7A1AOnD8g;
Fri Mar 04 20:45:45 +0000 2016;calb995;@alem_do_futebol @viniciuspvaz @Rio2016 talvez o cara naturazizado do Azerbaijão....;
Fri Mar 04 20:40:10 +0000 2016;neymarlindu;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 20:37:24 +0000 2016;SantisResende;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 20:37:09 +0000 2016;santoxfc;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 20:37:00 +0000 2016;ColunadoLeitor;RT @portalbrasil: ✳ Brasil reforça nos EUA que é baixo o risco de zika na Olimpíada. @fiocruz #Rio2016 #ZikaZero https://t.co/eXGdWbktU5;
Fri Mar 04 20:29:11 +0000 2016;djcall_pro;Parabéns ao nosso brasileirosMundial de ciclismo de pista#RIO2016 estarei la. https://t.co/QNKisSeuhC;
Fri Mar 04 20:24:55 +0000 2016;alberto_queiroz;RT @ViniciusRio2016: O @rio2016 vai rolar na #CidadeMaravilhosa e é em Copa que vamos ver o #VôleiDePraia, cheio de grandes atletas! 😎 http…;
Fri Mar 04 20:23:21 +0000 2016;lualinda68;RT @basquetebrasil: O sorteio dos grupos do basquete para os Jogos Olímpicos da @Rio2016, será no dia 11 de março, às 11h30. #SomosTodosBas…;
Fri Mar 04 20:22:58 +0000 2016;Vaalentina_10;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 20:20:23 +0000 2016;romanoolimpico;RT @alem_do_futebol: Luta, Pré-Olímpico das Américas em Frisco/USA, 1º dia, Gilda Oliveira(69kg), Lais Nunes(63kg) e Joice Silva(58kg) clas…;
Fri Mar 04 20:16:35 +0000 2016;weasel_fce;RT @jmlpyt: Imagens de atletas brasileiros dos Jogos Olímpicos @UOLEsporte #Rio2016 https://t.co/Y7kCQQS37V https://t.co/rp2gm1cBym;
Fri Mar 04 20:15:16 +0000 2016;lateralzeca;RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…;
Fri Mar 04 20:15:01 +0000 2016;amlemosdev;Se tirar uma foto, a tardinha tá fresca. Mas na real não tá. #Rio2016;
Fri Mar 04 20:11:37 +0000 2016;luciana;RT @almadebatera: Nós fomos convidados a conduzir a tocha olímpica.Aqui o Time de condutores Bradesco!Momento indescritível! #Rio2016 https…;
Fri Mar 04 20:10:04 +0000 2016;alem_do_futebol;@calb995 @viniciuspvaz @Rio2016 Sinceramente??? Vou torcer, muito, mas não tenho muita esperança não. Será muito difícil!;
Fri Mar 04 20:09:19 +0000 2016;cfdays;RT @OsvaldoAguiar: É o Brasil nas olimpíadas  /usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
#Rio2016 !!!! https://t.co/QSmPpW6fVU;
Fri Mar 04 20:09:03 +0000 2016;robertaseabra;RT @basquetebrasil: O sorteio dos grupos do basquete para os Jogos Olímpicos da @Rio2016, será no dia 11 de março, às 11h30. #SomosTodosBas…;
Fri Mar 04 20:09:02 +0000 2016;alem_do_futebol;@viniciuspvaz @calb995 @Rio2016 Pelo que entendi serão 2 Pré-Mundiais: Mongólia e Turquia. No feminino (ainda) não temos vagas nos 53 e 48kg;
Fri Mar 04 20:08:12 +0000 2016;calb995;@alem_do_futebol @viniciuspvaz @Rio2016 v tem esperança nos homens?;
Fri Mar 04 20:06:58 +0000 2016;viniciuspvaz;@alem_do_futebol @calb995 @Rio2016 Hum, a ultima chance d qm nao cnquistou vaga hj é via pré-mundial ne? ficamos sem vaga em qts categorias?;
Fri Mar 04 20:05:25 +0000 2016;alem_do_futebol;@calb995 @viniciuspvaz @Rio2016 Correto. Aline já tinha vaga. As outras três conquistaram hoje. Amanhã é a vez dos homens na luta livre.;
