/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon Mar 07 03:03:41 +0000 2016;marcosgrecelle;RT @Rio2016: Faltam #6Meses para os #JogosParalímpicos! 🎉🎉🎉🎉 https://t.co/q3GAkJGr1T;
Mon Mar 07 03:02:42 +0000 2016;defast1;RT @Rio2016: Faltam #6Meses para os #JogosParalímpicos! 🎉🎉🎉🎉 https://t.co/q3GAkJGr1T;
Mon Mar 07 03:02:42 +0000 2016;gigena00;RT @Rio2016: Faltam #6Meses para os #JogosParalímpicos! 🎉🎉🎉🎉 https://t.co/q3GAkJGr1T;
Mon Mar 07 03:02:22 +0000 2016;BrasilBogota;RT @Rio2016: Faltam #6Meses para os #JogosParalímpicos! 🎉🎉🎉🎉 https://t.co/q3GAkJGr1T;
Mon Mar 07 03:02:03 +0000 2016;KrisztianViera;RT @Rio2016: Faltam #6Meses para os #JogosParalímpicos! 🎉🎉🎉🎉 https://t.co/q3GAkJGr1T;
Mon Mar 07 03:01:20 +0000 2016;AdrianaRojasCor;RT @Rio2016: Faltam #6Meses para os #JogosParalímpicos! 🎉🎉🎉🎉 https://t.co/q3GAkJGr1T;
Mon Mar 07 03:00:54 +0000 2016;Rio2016;Faltam #6Meses para os #JogosParalímpicos! 🎉🎉🎉🎉 https://t.co/q3GAkJGr1T;
Mon Mar 07 02:52:59 +0000 2016;darioalmeida;RT @virgiliofneto: Que grande fim de semana de rugby! Parabéns e obrigado @portaldorugby @brasilrugby @Rio2016 #culturaderugby #semprerugby;
Mon Mar 07 02:47:20 +0000 2016;Seba_Pereira;RT @parsonsandrew: Amanhã estarei no @ibconstant, as 10h, p um debate com @sandrolaina, @ebolicbn e atletas paralímpicos sobre os @rio2016 …;
Mon Mar 07 02:37:22 +0000 2016;portaldorugby;RT @virgiliofneto: Que grande fim de semana de rugby! Parabéns e obrigado @portaldorugby @brasilrugby @Rio2016 #culturaderugby #semprerugby;
Mon Mar 07 02:23:38 +0000 2016;calb995;@alem_do_futebol @viniciuspvaz @Rio2016 acabou vindo uma só?;
Mon Mar 07 02:19:59 +0000 2016;defast1;RT @parsonsandrew: Amanhã estarei no @ibconstant, as 10h, p um debate com @sandrolaina, @ebolicbn e atletas paralímpicos sobre os @rio2016 …;
Mon Mar 07 02:18:49 +0000 2016;cpboficial;RT @parsonsandrew: Amanhã estarei no @ibconstant, as 10h, p um debate com @sandrolaina, @ebolicbn e atletas paralímpicos sobre os @rio2016 …;
Mon Mar 07 02:12:43 +0000 2016;virgiliofneto;Que grande fim de semana de rugby! Parabéns e obrigado @portaldorugby @brasilrugby @Rio2016 #culturaderugby #semprerugby;
