/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Mar 18 03:06:17 +0000 2016;Lyviaaramos;RT @t3ddyyyyy: sabe a tocha olimpica? então.....

VOU CARREGAR ELA NAS OLIMPÍADAS 2016 💙✨

obg @CocaCola_Br #TochaOlimpica #Rio2016 https:/…;
Fri Mar 18 01:57:13 +0000 2016;SurtoOlimpico;O Troféu Maria Lenk será o evento-teste da Natação do Estádio Aquático para o @Rio2016 https://t.co/YSUOmrTYsH https://t.co/7bkWUMPZnF;
Fri Mar 18 01:55:15 +0000 2016;renatobiasotto;@gustavovillani Já sabe os esportes que irá narrar na Rio2016?;
Fri Mar 18 01:54:02 +0000 2016;brilhonaio;RT @t3ddyyyyy: sabe a tocha olimpica? então.....

VOU CARREGAR ELA NAS OLIMPÍADAS 2016 💙✨

obg @CocaCola_Br #TochaOlimpica #Rio2016 https:/…;
Fri Mar 18 01:53:09 +0000 2016;jpcaastro;RT @SurtoOlimpico: Destaques do Surto...@Nike lança uniformes para o @Rio2016,incluindo o do Basquete do Brasil https://t.co/cH28zWjQ3D htt…;
Fri Mar 18 01:50:47 +0000 2016;LopoDinis;RT @RuanaCarolina: Rio rescinde contrato e abandona último legado ambiental da Olimpíada https://t.co/K2FnI1nICp via @UOLEsporte #Rio2016;
Fri Mar 18 01:50:33 +0000 2016;SurtoOlimpico;Destaques do Surto...@Nike lança uniformes para o @Rio2016,incluindo o do Basquete do Brasil https://t.co/cH28zWjQ3D https://t.co/w0cSsLqsMy;
Fri Mar 18 01:48:40 +0000 2016;b_guedes;RT @RuanaCarolina: Rio rescinde contrato e abandona último legado ambiental da Olimpíada https://t.co/K2FnI1nICp via @UOLEsporte #Rio2016;
Fri Mar 18 01:47:23 +0000 2016;RuanaCarolina;Rio rescinde contrato e abandona último legado ambiental da Olimpíada https://t.co/K2FnI1nICp via @UOLEsporte #Rio2016;
Fri Mar 18 01:45:07 +0000 2016;lancenet;Handebol: Seleções disputam as últimas vagas da #Rio2016 a partir de sexta https://t.co/jhEvgJ1S3Q;
