/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Wed Mar 30 01:03:16 +0000 2016;cfredbastos;RT @SurtoOlimpico: Relembrando que @RenzoAgresta garantiu a sua vaga na esgrima do @Rio2016 https://t.co/EYVbs2L6G2 https://t.co/eVoPbURKIl;
Wed Mar 30 00:57:24 +0000 2016;herold_s;Vem gente! https://t.co/bkBUrPyGpa;
Wed Mar 30 00:56:42 +0000 2016;RogerioRot;RT @exercitooficial: #Rio2016 De 28 de março a 1º de abril ocorre o Estágio de Percepção de Ameaça Terrorista (EPAT), no CML https://t.co/d…;
Wed Mar 30 00:52:43 +0000 2016;Esportessencial;RT @soudoesporte: Rio 2016 será a última Olimpíada de Usain Bolt: https://t.co/zLPA9aDVxZ
#FiquedeOlho no #Rio2016 https://t.co/7ic6hYOGvV;
Wed Mar 30 00:50:54 +0000 2016;soudoesporte;Rio 2016 será a última Olimpíada de Usain Bolt: https://t.co/zLPA9aDVxZ
#FiquedeOlho no #Rio2016 https://t.co/7ic6hYOGvV;
Wed Mar 30 00:50:17 +0000 2016;fabianriv;RT @Rio2016: O jogo entre @TeamUSA   e @FCFSeleccionCol   é hoje e vale vaga para os @JogosOlimpicos  https://t.co/E5N8biWOyD https://t.co/…;
Wed Mar 30 00:42:26 +0000 2016;Record_Portugal;Vela - Portugueses defendem Rio'2016 https://t.co/kW4xQXsuZF;
Wed Mar 30 00:41:41 +0000 2016;LOVELY_DDOG;Só para refrescar a memória dos turistas:
Rua Goias é a rua do "Engenhão", onde teremos o futebol na
#Rio2016  https://t.co/DcPgwTVgnz;
Wed Mar 30 00:40:26 +0000 2016;negraovolei1;Em dias de jogos da seleção brasileira, me lembro do orgulho que tinha ao defender esta camisa! #SelecaoBrasileira #rio2016 #Russia2018;
Wed Mar 30 00:29:57 +0000 2016;martinchab1997;RT @Rio2016: O jogo entre @TeamUSA   e @FCFSeleccionCol   é hoje e vale vaga para os @JogosOlimpicos  https://t.co/E5N8biWOyD https://t.co/…;
Wed Mar 30 00:27:02 +0000 2016;rpicolyno;E essa carta convite do @volunta_Rio2016 que não chega? Assim fica difícil arrumar minha hospeda free...;
Wed Mar 30 00:22:15 +0000 2016;mlrachel;RT @Rio2016: Desenhe, baixe o nosso app, encaixe sua arte no formato, envie. Seu desenho pode virar selo dos @CorreiosBR ! https://t.co/1iO…;
Wed Mar 30 00:19:26 +0000 2016;monicagarciad;RT @thalescmachado: 129 dias para o @Rio2016 e não sabe-se quem será:
 
- o Ministro do Esporte
- o Presidente
- que acenderá a pira.
- o t…;
Wed Mar 30 00:19:13 +0000 2016;JosefaArtunez1;RT @AnjinChatin: #TchauQuerida

Segundo o Jeferson Dilma Bolada da Pepper a xará Vana Rousseff já está procurando emprego:

#Rio2016 https:…;
Wed Mar 30 00:18:43 +0000 2016;GPronaldo13;RT @AnjinChatin: #TchauQuerida

Segundo o Jeferson Dilma Bolada da Pepper a xará Vana Rousseff já está procurando emprego:

#Rio2016 https:…;
Wed Mar 30 00:18:19 +0000 2016;Don_Martins1;RT @AnjinChatin: #TchauQuerida

Segundo o Jeferson Dilma Bolada da Pepper a xará Vana Rousseff já está procurando emprego:

#Rio2016 https:…;
Wed Mar 30 00:18:05 +0000 2016;fernanda281327;RT @AnjinChatin: #TchauQuerida

Segundo o Jeferson Dilma Bolada da Pepper a xará Vana Rousseff já está procurando emprego:

#Rio2016 https:…;
