/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu Mar 31 03:05:49 +0000 2016;Biancacarrvalho;Vai fazer história nas olimpiadas @Rio2016 https://t.co/UKPpWKm6Rz;
Thu Mar 31 02:05:03 +0000 2016;Regys_Silva;RT @SurtoOlimpico: A Austrália apresenta o uniforme da Cerimônia de Abertura do @Rio2016 https://t.co/8eXuJsG8yd https://t.co/EUXBXxnd8P;
Thu Mar 31 02:04:59 +0000 2016;Regys_Silva;RT @SurtoOlimpico: A Colômbia bate os EUA e garante última vaga no futebol masculino do @Rio2016 https://t.co/9PEqdl0y0Y https://t.co/N2KhW…;
Thu Mar 31 02:04:55 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Destaques do Surto..prova polêmica pode tirar @YannickAgnel dos 200m livres do @Rio2016 https://t.co/dnbUUP3VEf https://…;
Thu Mar 31 02:04:43 +0000 2016;douglas_nicolau;RT @SamsungMobileBR: Ao superar obstáculos e desafiar barreiras nos tornamos invencíveis. #BrasilDesafieBarreiras https://t.co/4NQ9I1cZ3C h…;
Thu Mar 31 02:04:42 +0000 2016;Rfssmcam;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 02:03:02 +0000 2016;RECOPILATOR;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Thu Mar 31 02:02:58 +0000 2016;SurtoOlimpico;Brasileiro alcança indice no Salto em Altura do @Rio2016 https://t.co/6yRWpIEntu https://t.co/D98HaO2CJ0;
Thu Mar 31 02:02:35 +0000 2016;linny_morais;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 02:02:28 +0000 2016;oiiCaroll;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 02:01:16 +0000 2016;Twittblaster;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Thu Mar 31 01:56:34 +0000 2016;romanoolimpico;RT @SurtoOlimpico: .@CP3 decide não disputar o @Rio2016 https://t.co/puZ3WLgTcV https://t.co/C44qogJWui;
Thu Mar 31 01:54:00 +0000 2016;stupidfeeh;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 01:53:41 +0000 2016;SurtoOlimpico;.@CP3 decide não disputar o @Rio2016 https://t.co/puZ3WLgTcV https://t.co/C44qogJWui;
Thu Mar 31 01:52:11 +0000 2016;SurtoOlimpico;A Austrália apresenta o uniforme da Cerimônia de Abertura do @Rio2016 https://t.co/8eXuJsG8yd https://t.co/EUXBXxnd8P;
Thu Mar 31 01:51:29 +0000 2016;SurtoOlimpico;A Colômbia bate os EUA e garante última vaga no futebol masculino do @Rio2016 https://t.co/9PEqdl0y0Y https://t.co/N2KhW6bjbU;
Thu Mar 31 01:50:34 +0000 2016;miguelluiz221;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 01:50:33 +0000 2016;SurtoOlimpico;Destaques do Surto..prova polêmica pode tirar @YannickAgnel dos 200m livres do @Rio2016 https://t.co/dnbUUP3VEf https://t.co/D6nGyvsmi5;
Thu Mar 31 01:47:31 +0000 2016;rafavalesi;RT @MarceloLaguna: Após doping, Aná Cláudia Lemos não terá Bolsa Pódio renovada  | LANCE! https://t.co/RjllBVNGqf;
Thu Mar 31 01:46:57 +0000 2016;MarceloLaguna;Após doping, Aná Cláudia Lemos não terá Bolsa Pódio renovada  | LANCE! https://t.co/RjllBVNGqf;
Thu Mar 31 01:46:56 +0000 2016;2015_nate;RT @JamilChade: Lava Jato se aproxima da Rio2016...e COI adota um silêncio ensurdecedor diante das suspeitas. https://t.co/k3jLEzFeBW;
Thu Mar 31 01:43:17 +0000 2016;canalhous;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 01:42:40 +0000 2016;ByMinos;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 01:42:37 +0000 2016;Luizy_Vitoria;RT @FeCastanhari: Precisamos conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016
Hey, #AjudaLuciano 
#IssoÉOuro 
 https://t.co/J…;
Thu Mar 31 01:42:34 +0000 2016;Luizy_Vitoria;RT @brunavieira: HELP! 😱😱😱 Nos ajudem a conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016 #AjudaLuciano #IssoÉOuro https://t.c…;
Thu Mar 31 01:41:26 +0000 2016;SrtTpm;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 01:37:02 +0000 2016;fernandafarani;RT @Rio2016: Todos os times de #futebol Olímpico já estão definidos e o sorteio dos grupos acontece no dia 14 de abril! ⚽⚽⚽ https://t.co/uZ…;
Thu Mar 31 01:36:52 +0000 2016;fernandafarani;RT @Rio2016: Tudo sobre o jogo que deu a última vaga do #futebol 👨🏻 do #Rio2016 para a Colômbia! 🇨🇴 ⚽ https://t.co/Ka9RBpbmDV https://t.co/…;
Thu Mar 31 01:36:01 +0000 2016;UNHOLYCONF;RT @g1: 'Brasil está preparado', diz ministro sobre possíveis atentados nas Olimpíadas https://t.co/GgDTHLnUEA
#G1 https://t.co/KCl8QxSjbg;
Thu Mar 31 01:35:50 +0000 2016;news_portugal;#record COP apreensivo com Jogos do Rio: José Manuel Constantino, presidente do Comité Olímpico de Portugal, m... https://t.co/HoZ2nuwFfx;
Thu Mar 31 01:35:24 +0000 2016;elpaisdelfutbo1;RT @Brasil2016: Os jogos serão disputados em Brasília, Belo Horizonte, São Paulo, Manaus, Salvador e no Rio #SomosTodosBrasil  https://t.co…;
