/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Wed Dec 09 02:04:03 +0000 2015;fatoonline;COI garante participação do #Mexico na #Rio2016. https://t.co/wfKId3Aclb;
Wed Dec 09 01:47:40 +0000 2015;Politica_Info1;RT @Rio2016: Curte gritar gol? No #Goalball tem bastante e com ingresso por R$10! #Top10 https://t.co/VKwh5Vu2oW https://t.co/LrbiNQTnHk;
Wed Dec 09 01:44:07 +0000 2015;Politica_Info1;RT @Rio2016: O #CiclismoDeEstrada não está disponível agora mas promete muita emoção por R$10! #Top10 https://t.co/VKwh5Vu2oW https://t.co/…;
Wed Dec 09 01:43:21 +0000 2015;ilobur_news;COI dá razão ao governo e garante participação do México no Rio ... - A Tarde On Line https://t.co/EVIl1twYDI #ブラジル #五輪 #Rio2016;
Wed Dec 09 01:42:48 +0000 2015;Politica_Info1;RT @Rio2016: Por R$10 você pode ver jogadas incríveis e pura habilidade no #TênisDeMesa! https://t.co/VKwh5Vu2oW https://t.co/6jf4WSc8kj;
Wed Dec 09 01:41:47 +0000 2015;Politica_Info1;RT @Rio2016: #TiroComArco por R$10 - Atletas mostrando que acertam na mosca (e você, no bolso). https://t.co/VKwh5Vu2oW https://t.co/kTNL8A…;
Wed Dec 09 01:41:01 +0000 2015;Politica_Info1;RT @Rio2016: Por R$10 você pode ver um esporte de força e trabalho em equipe, num visual bacana do Rio! https://t.co/VKwh5Vu2oW https://t.c…;
Wed Dec 09 01:37:27 +0000 2015;annabdf;@Rio2016 quero saber se já enviaram a minha carta-convite. ainda não chegou.
Perdões se pareço ansiosa..mas é que estou mesmo! 😊;
Wed Dec 09 01:33:43 +0000 2015;Politica_Info1;RT @Rio2016: Pra quem perdeu, hoje começou a venda direta online de ingressos pros #JogosParalímpicos! Tem cerimônias, finais... https://t.…;
Wed Dec 09 01:33:03 +0000 2015;Nairoquinha;Encontre sua hospedagem para os Jogos Olímpicos e paralímpicos Rio 2016| #Rio2016 #Olimpíadas2016  https://t.co/cJLiBZ5Vck;
Wed Dec 09 01:33:03 +0000 2015;Embarque;Encontre sua hospedagem para os Jogos Olímpicos e paralímpicos Rio 2016| #Rio2016 #Olimpíadas2016  https://t.co/GFFG5sbgP0;
Wed Dec 09 01:33:02 +0000 2015;LifeStyleENV;Encontre sua hospedagem para os Jogos Olímpicos e paralímpicos Rio 2016| #Rio2016 #Olimpíadas2016  https://t.co/M39DWJBeKf;
Wed Dec 09 01:28:18 +0000 2015;blogdohamilton;Grego contratou serviço de ar-condicionado de empresa da mulher na CBB https://t.co/ufSUVOFiqm via @UOLEsporte #Rio2016;
Wed Dec 09 01:24:09 +0000 2015;Laurafwx;RT @cpboficial: Quem aqui consegue correr 42km??! Não é mole, não! 😅  https://t.co/Is2yQt7ck7;
Wed Dec 09 01:23:08 +0000 2015;Laurafwx;RT @Rio2016: Por R$10 você pode ver um esporte de força e trabalho em equipe, num visual bacana do Rio! https://t.co/VKwh5Vu2oW https://t.c…;
Wed Dec 09 01:17:23 +0000 2015;Regys_Silva;RT @SurtoOlimpico: .@rogerfederer não confirma que vai disputar duplas mistas com @mhingis no @Rio2016 https://t.co/gLabYF9LPE https://t.co…;
Wed Dec 09 01:14:50 +0000 2015;cintiaflorit;RT @lcportinho: @RSPARADESPORTO em 2016 vou para o @Rio2016 e quero conhecer e bater imã bola 🏀🏀🏀 com esse menino @TomRio2016 😆👍♿😉;
Wed Dec 09 01:12:39 +0000 2015;ilobur_news;Relatório critica Rio-2016 e denuncia 'Jogos da exclusão' - UOL https://t.co/hwBO3dso8W #ブラジル #五輪 #Rio2016;
Wed Dec 09 01:10:10 +0000 2015;SurtoOlimpico;.@rogerfederer não confirma que vai disputar duplas mistas com @mhingis no @Rio2016 https://t.co/gLabYF9LPE https://t.co/wwPEHmrmZg;
Wed Dec 09 01:07:01 +0000 2015;drikcassilva;RT @alcalejon: Pra quem perdeu, teve Cotonete e Soneca, quer dizer, @marcelomelo83 e @BrunoSoares82 no Jornal Nacional. #rio2016 https://t.…;
Wed Dec 09 01:02:12 +0000 2015;BrunoSoares82;RT @alcalejon: Pra quem perdeu, teve Cotonete e Soneca, quer dizer, @marcelomelo83 e @BrunoSoares82 no Jornal Nacional. #rio2016 https://t.…;
Wed Dec 09 01:01:58 +0000 2015;BrunoSoares82;Muito obrigado pelas mensagens que recebi. Matéria no @jornalnacional ficou ótima. Vamos em busca dessa medalha. #Rio2016 #brasilnasduplas;
Wed Dec 09 01:01:14 +0000 2015;lcportinho;@RSPARADESPORTO em 2016 vou para o @Rio2016 e quero conhecer e bater imã bola 🏀🏀🏀 com esse menino @TomRio2016 😆👍♿😉;
Wed Dec 09 01:00:23 +0000 2015;antoniodessouza;RT @ESPNagora: Em 32 anos, Brasil será primeiro país a fazer Olimpíada ficando mais pobre https://t.co/HvkIO2ADTT @Rio2016 https://t.co/Ypn…;
Wed Dec 09 00:47:33 +0000 2015;marcelomelo83;RT @alcalejon: Pra quem perdeu, teve Cotonete e Soneca, quer dizer, @marcelomelo83 e @BrunoSoares82 no Jornal Nacional. #rio2016 https://t.…;
Wed Dec 09 00:41:06 +0000 2015;ilobur_news;Búlgaros vão à CAS para poder disputar o Rio-2016 no ... - Folha Vitória https://t.co/2mc9sPdWqK #ブラジル #五輪 #Rio2016;
Wed Dec 09 00:38:14 +0000 2015;buenocharlles;RT @Rio2016: Pra quem perdeu, hoje começou a venda direta online de ingressos pros #JogosParalímpicos! Tem cerimônias, finais... https://t.…;
Wed Dec 09 00:28:01 +0000 2015;RochaXavier;RT @Rio2016: Pra quem perdeu, hoje começou a venda direta online de ingressos pros #JogosParalímpicos! Tem cerimônias, finais... https://t.…;
Wed Dec 09 00:27:53 +0000 2015;alcalejon;Pra quem perdeu, teve Cotonete e Soneca, quer dizer, @marcelomelo83 e @BrunoSoares82 no Jornal Nacional. #rio2016 https://t.co/lwDyKsgn8c;
Wed Dec 09 00:25:12 +0000 2015;Rio2016;Pra quem perdeu, hoje começou a venda direta online de ingressos pros #JogosParalímpicos! Tem cerimônias, finais... https://t.co/VKwh5Vu2oW;
Wed Dec 09 00:24:12 +0000 2015;RibamarRei;Tocha Olímpica Rio 2016: CHAMA QUEM FAZ! https://t.co/e9KXWKAMs5;
