/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
#RIO2016 #FUTEBOL;
Thu Aug 04 03:09:11 +0000 2016;APRENAULT10;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:09:11 +0000 2016;baixadanaweb;#rio2016 STF mantém suspensão de multa de R$ 1,5 mil nas faixas olímpicas do Rio https://t.co/CLMii1vjLs;
Thu Aug 04 03:09:08 +0000 2016;rafaelturolla;#Rio2016 esses #JogosOlimpicos 😍😍😍😍😍🔥🔥🔥;
Thu Aug 04 03:09:07 +0000 2016;rwnosense;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:09:03 +0000 2016;suelirodriguez;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:09:02 +0000 2016;Guil_Vini;RT @g1: Prefeitura do Rio celebra no Twitter chegada do 'Pokémon Go' ao Brasil https://t.co/wUGFPESGnm #G1 #Rio2016 https://t.co/ikj51rwaMn;
Thu Aug 04 03:09:01 +0000 2016;tatatizando;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:09:00 +0000 2016;alves_silva2;FALTA 1 DIAAA #Rio2016 #OlimpiadiRio2016 #RioOlympics;
Thu Aug 04 03:08:57 +0000 2016;nanyariane2;RT @g1rio: Protesto interrompe revezamento da tocha olímpica em Duque de Caxias https://t.co/D8TsbLzrN6;
Thu Aug 04 03:08:53 +0000 2016;eslabuenavida;RT @Gerontes_: Parabéns, meninas do Brasil! #Rio2016 https://t.co/dzNyzOFlJ5... https://t.co/HrnzJCC6ju @Alzheimerebook;
Thu Aug 04 03:08:52 +0000 2016;iriskessia;@anapaularenault @Brasil2016 @Rio2016 @TwitterBrasil @minesporte @meuamorpelanap scr minis ataques nesse momentoooo💙;
Thu Aug 04 03:08:52 +0000 2016;dora_serejo;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:52 +0000 2016;AgrenSilvia;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:51 +0000 2016;_viciado__;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:48 +0000 2016;Deivinho3;Bate aqui de madrugada pra lembrar aquele tempo... #raggae #Rio2016 #PokemonGO #MaisMafiaNoSdv #musica #armandinho https://t.co/QoLJzSBnh1;
Thu Aug 04 03:08:48 +0000 2016;ErianaAnjos;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:47 +0000 2016;PortalTorcedor;#Rio2016 #BRA Pé direito! Brasil estreia bem no futebol feminino, goleia a China e lidera grupo E - https://t.co/Fv70KrJx5Y;
Thu Aug 04 03:08:46 +0000 2016;FragaYago;RT @FluminenseFC: #NessasOlimpiadasEu tenho 11 guerreiros! #SomosFluminense #FluOlímpico #Rio2016 https://t.co/NYUHmZc4WC;
Thu Aug 04 03:08:44 +0000 2016;NenaRenault;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:43 +0000 2016;_AleexRibeiro;RT @goleada_info: E hoje é a vez dos homens! Nesta quinta-feira o Brasil estreia na #Rio2016 e vai em busca do ouro inédito! 🇧🇷🏅 https://t.…;
Thu Aug 04 03:08:43 +0000 2016;_AleexRibeiro;RT @goleada_info: A partir de 16h acompanhe, em tempo real, Brasil x África do Sul, estreia do futebol masculino na #Rio2016. Até! 🇧🇷🏅 http…;
Thu Aug 04 03:08:42 +0000 2016;FehBauer;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:33 +0000 2016;eddyank;Fim de ciclo
https://t.co/3P5SQXWSMK https://t.co/KqQe5jjb8u;
